Title,MajorStudio,Runtime,Rating,Production Budget (in millions),In Release,Widest Release,Opening Weekend Gross,Total Gross,Critic Rating,Audience Rating,Year,MonthOfRelease,LogOpeningWeekendGross,LogProductionBudget,LogWidestRelease,LogTotalGross
Knight & Day,1,130,PG-13,117,107,3104,20139985,76423035,53,49,2010,6,16.8182177,18.57768449,8.040446881,18.15179471
Dinner for Schmucks,1,110,PG-13,69,77,3046,23527839,73026337,42,43,2010,7,16.97369492,18.04961706,8.021584533,18.10633071
The Tourist,1,103,PG-13,100,90,2756,16472458,67631157,20,42,2010,12,16.61720033,18.42068074,7.921535632,18.02957934
The Bounty Hunter,1,106,PG-13,40,112,3118,20686423,67061228,13,51,2010,3,16.84498815,17.50439001,8.04494705,18.02111661
Diary of a Wimpy Kid,1,120,PG,15,154,3083,22126166,64003625,53,49,2010,3,16.91227145,16.52356076,8.033658428,17.97445028
The Sorcerer's Apprentice,1,111,PG,150,107,3504,17619622,63150991,41,53,2010,7,16.68452373,18.82614585,8.161660452,17.9610391
A Nightmare on Elm Street (2010),1,90,R,35,77,3332,32902299,63075011,15,44,2010,4,17.30905309,17.37085862,8.111328003,17.95983523
The Last Song,1,107,PG,20,107,2794,16007426,62950384,20,65,2010,3,16.5885633,16.81124283,7.93522954,17.95785742
The Wolfman,1,102,R,150,49,3223,31479235,61979680,34,33,2010,2,17.26483868,18.82614585,8.078067882,17.94231715
Get Him to the Greek,1,109,R,40,70,2702,17570955,60974475,73,62,2010,6,16.68175781,17.50439001,7.901747519,17.92596589
Resident Evil: Afterlife,1,100,R,60,56,3209,26650264,60128566,23,49,2010,9,17.09830961,17.90985512,8.073714641,17.91199559
Tyler Perry's Why Did I Get Married Too?,1,121,PG-13,20,70,2155,29289537,60095852,26,67,2010,4,17.19274091,16.81124283,7.675546003,17.91145138
Tooth Fairy,1,102,PG,48,154,3345,14010409,60022256,18,42,2010,1,16.45531111,17.68671157,8.115221973,17.91022598
Secretariat,1,116,PG,35,126,3108,12694770,59713955,64,76,2010,10,16.35670066,17.37085862,8.041734711,17.9050763
Easy A,1,92,PG-13,8,98,2974,17734040,58401464,85,77,2010,9,16.69099651,15.8949521,7.997663127,17.88285152
Takers,1,107,PG-13,32,84,2206,20512304,57744720,28,62,2010,8,16.83653546,17.28124646,7.6989362,17.87154247
Legend of the Guardians: The Owls of Ga'Hoole,1,90,PG,80,119,3575,16112211,55675313,50,64,2010,9,16.59508799,18.19753719,8.181720455,17.83504739
Life as We Know It,1,112,PG-13,38,112,3150,14506464,53374681,-1,50,2010,10,16.4901049,17.45309672,8.055157732,17.79284705
Letters to Juliet,0,105,PG,30,105,2975,13540486,53032453,40,62,2010,5,16.42119472,17.21670794,7.997999318,17.7864146
Wall Street: Money Never Sleeps,1,127,PG-13,70,91,3597,19011188,52474616,55,44,2010,9,16.76053821,18.0640058,8.187855444,17.77584011
Predators,1,107,R,40,98,2669,24760882,52000688,64,51,2010,7,17.02477563,17.50439001,7.889459149,17.76676751
Hot Tub Time Machine,1,100,R,36,77,2771,14020502,50287556,63,56,2010,3,16.45603124,17.3990295,7.926963545,17.73326821
Kick-Ass,1,117,R,30,77,3065,19828687,48071303,76,81,2010,4,16.80264029,17.21670794,8.027802848,17.68819595
Killers,1,100,PG-13,75,77,2859,15837266,47059963,11,41,2010,6,16.57787633,18.13299867,7.958227192,17.66693316
Saw 3D,1,91,R,20,35,2808,22530123,45710178,9,42,2010,10,16.93036377,16.81124283,7.940227765,17.63783154
Cop Out,1,110,R,30,84,3150,18211126,44875481,19,40,2010,2,16.71754328,17.21670794,8.055157732,17.61940212
Cats & Dogs: The Revenge of Kitty Galore,1,82,PG,85,84,3705,12279363,43585753,14,38,2010,7,16.32343061,18.25816181,8.217438538,17.59024089
Edge of Darkness,1,108,R,80,70,3066,17214384,43313890,56,49,2010,1,16.66125587,18.19753719,8.028129059,17.58398393
Gulliver's Travels,1,85,PG,112,111,3089,6307691,42779261,21,27,2010,12,15.65728024,18.53400943,8.035602693,17.57156399
Death at a Funeral (2010),1,90,R,21,84,2459,16217540,42739347,41,45,2010,4,16.60160393,16.860033,7.807510042,17.57063053
Step Up 3-D,1,97,PG-13,30,91,2439,15812311,42400223,46,64,2010,8,16.57629937,17.21670794,7.799343398,17.56266418
The Last Exorcism,1,100,PG-13,1.8,42,2874,20366613,41034350,72,34,2010,8,16.8294075,14.40329722,7.963460067,17.52992008
Legion (2010),1,100,R,26,59,2476,17501625,40168080,20,31,2010,1,16.67780429,17.0736071,7.814399634,17.50858321
Burlesque,1,100,PG-13,55,78,3037,11947744,39440655,37,64,2010,11,16.29605303,17.82284374,8.018625465,17.4903077
The Crazies,0,101,R,20,84,2479,16067552,39123589,71,56,2010,2,16.59231239,16.81124283,7.815610532,17.48223614
For Colored Girls,1,120,R,21,77,2127,19497324,37729698,32,73,2010,11,16.78578778,16.860033,7.662467815,17.44595809
The Back-Up Plan,0,98,PG-13,35,91,3280,12201710,37490007,18,45,2010,4,16.31708666,17.37085862,8.095598701,17.43958498
Vampires Suck,1,80,PG-13,20,86,3233,12202831,36661504,5,30,2010,8,16.31717853,16.81124283,8.081165778,17.41723783
The American,0,105,R,20,65,2833,13177790,35606376,66,38,2010,9,16.39404339,16.81124283,7.9490915,17.38803528
Green Zone,1,115,R,100,56,3004,14309295,35053660,53,57,2010,3,16.47641988,18.42068074,8.007700013,17.37239059
Marmaduke,1,87,PG,50,105,3213,11599661,33644788,9,42,2010,6,16.26648643,17.72753356,8.074960359,17.33136871
Devil,1,80,PG-13,10,63,2811,12289375,33601190,52,44,2010,9,16.32424563,16.11809565,7.941295571,17.33007204
When in Rome,1,91,PG-13,40,77,2456,12350041,32680633,16,41,2010,1,16.32916994,17.50439001,7.806289289,17.3022932
Love and Other Drugs,1,113,R,30,86,2458,9739161,32367005,49,53,2010,11,16.09166553,17.21670794,7.80710329,17.2926501
She's Out of My League,1,104,R,20,69,2958,9775278,32010860,58,59,2010,3,16.0953671,16.81124283,7.992268643,17.28158578
Scott Pilgrim vs. the World,1,113,PG-13,60,56,2820,10609795,31524275,82,83,2010,8,16.17728819,17.90985512,7.944492164,17.26626844
Charlie St. Cloud,1,90,PG-13,44,49,2725,12381585,31162545,27,61,2010,7,16.33172085,17.59970019,7.910223707,17.25472745
Morning Glory,1,102,PG-13,40,72,2544,9203266,31011732,55,51,2010,11,16.03506898,17.50439001,7.841492924,17.24987614
How Do You Know,1,116,PG-13,120,41,2483,7484696,30212620,32,25,2010,12,15.82837096,18.6030023,7.817222786,17.22377028
Daybreakers,1,98,R,20,35,2523,15146692,30101577,67,49,2010,1,16.53329272,16.81124283,7.833203949,17.22008812
Nanny McPhee Returns,1,100,PG,35,70,2798,8407685,29011215,76,55,2010,8,15.94465673,17.37085862,7.936660155,17.18319304
The Switch,1,100,PG-13,19,91,2017,8436713,27779426,51,45,2010,8,15.94810334,16.75994954,7.609366538,17.13980623
Brooklyn's Finest,0,133,R,17,77,1939,13350299,27163593,43,46,2010,3,16.40704934,16.6487239,7.569927655,17.11738814
Machete,1,105,R,10.5,77,2678,11416164,26593646,72,64,2010,9,16.2505408,16.16688582,7.892825526,17.09618287
Ramona and Beezus,1,104,G,15,112,2719,7810481,26167002,70,72,2010,7,15.87097711,16.52356076,7.908019445,17.08000971
Leap Year,1,97,PG,19,56,2512,9202815,25918920,21,47,2010,1,16.03501997,16.75994954,7.828834528,17.07048376
