Title,MajorStudio,Runtime,Rating,Production Budget (in millions),In Release,Widest Release,Opening Weekend Gross,Total Gross,Critic Rating,Audience Rating,Year,MonthOfRelease,LogOpeningWeekendGross,LogProductionBudget,LogWidestRelease,LogTotalGross
Dinner for Schmucks,1,110,PG-13,69,77,3046,23527839,73026337,42,43,2010,7,16.973694916282,18.0496170625615,8.02158453345511,18.1063307148688
The Tourist,1,103,PG-13,100,90,2756,16472458,67631157,20,42,2010,12,16.6172003320628,18.4206807439524,7.92153563213355,18.0295793371972
The Bounty Hunter,1,106,PG-13,40,112,3118,20686423,67061228,13,51,2010,3,16.8449881493234,17.5043900120782,8.04494704961772,18.0211166107941
Diary of a Wimpy Kid,1,120,PG,15,154,3083,22126166,64003625,53,49,2010,3,16.9122714480346,16.5235607590665,8.03365842788615,17.9744502803449
The Sorcerer's Apprentice,1,111,PG,150,107,3504,17619622,63150991,41,53,2010,7,16.6845237253478,18.8261458520605,8.16166045205628,17.9610390994326
A Nightmare on Elm Street (2010),1,90,R,35,77,3332,32902299,63075011,15,44,2010,4,17.3090530917137,17.3708586194537,8.11132800328673,17.9598352268869
The Last Song,1,107,PG,20,107,2794,16007426,62950384,20,65,2010,3,16.5885632975314,16.8112428315183,7.93522953981691,17.9578574185155
The Wolfman,1,102,R,150,49,3223,31479235,61979680,34,33,2010,2,17.2648386800746,18.8261458520605,8.07806788181544,17.9423171473548
Get Him to the Greek,1,109,R,40,70,2702,17570955,60974475,73,62,2010,6,16.6817578126987,17.5043900120782,7.90174751852014,17.9259658919431
Resident Evil: Afterlife,1,100,R,60,56,3209,26650264,60128566,23,49,2010,9,17.0983096147184,17.9098551201864,8.07371464110986,17.9119955944028
Tyler Perry's Why Did I Get Married Too?,1,121,PG-13,20,70,2155,29289537,60095852,26,67,2010,4,17.1927409112362,16.8112428315183,7.67554600253785,17.9114513788207
Tooth Fairy,1,102,PG,48,154,3345,14010409,60022256,18,42,2010,1,16.4553111113203,17.6867115688722,8.11522197256233,17.9102259847409
Secretariat,1,116,PG,35,126,3108,12694770,59713955,64,76,2010,10,16.3567006555878,17.3708586194537,8.04173471148754,17.9050763031409
Easy A,1,92,PG-13,8,98,2974,17734040,58401464,85,77,2010,9,16.6909965144738,15.8949520996441,7.9976631270201,17.8828515159774
Takers,1,107,PG-13,32,84,2206,20512304,57744720,28,62,2010,8,16.8365354591855,17.281246460764,7.69893619981345,17.8715424746149
Legend of the Guardians: The Owls of Ga'Hoole,1,90,PG,80,119,3575,16112211,55675313,50,64,2010,9,16.5950879896839,18.1975371926382,8.18172045512811,17.8350473930048
Life as We Know It,1,112,PG-13,38,112,3150,14506464,53374681,-1,50,2010,10,16.490104901158,17.4530967176907,8.05515773181968,17.7928470529144
Letters to Juliet,0,105,PG,30,105,2975,13540486,53032453,40,62,2010,5,16.4211947184527,17.2167079396264,7.99799931797973,17.7864146048793
Wall Street: Money Never Sleeps,1,127,PG-13,70,91,3597,19011188,52474616,55,44,2010,9,16.7605382059365,18.0640058000136,8.18785544369562,17.7758401058738
Predators,1,107,R,40,98,2669,24760882,52000688,64,51,2010,7,17.0247756271171,17.5043900120782,7.88945914940452,17.7667675072274
Hot Tub Time Machine,1,100,R,36,77,2771,14020502,50287556,63,56,2010,3,16.4560312449211,17.3990294964204,7.92696354486298,17.7332682088364
Kick-Ass,1,117,R,30,77,3065,19828687,48071303,76,81,2010,4,16.8026402854949,17.2167079396264,8.02780284837031,17.6881959458061
Killers,1,100,PG-13,75,77,2859,15837266,47059963,11,41,2010,6,16.5778763284432,18.1329986715006,7.95822719232231,17.6669331550328
Saw 3D,1,91,R,20,35,2808,22530123,45710178,9,42,2010,10,16.930363771781,16.8112428315183,7.9402277651457,17.6378315444154
Cop Out,1,110,R,30,84,3150,18211126,44875481,19,40,2010,2,16.7175432839492,17.2167079396264,8.05515773181968,17.6194021233782
Cats & Dogs: The Revenge of Kitty Galore,1,82,PG,85,84,3705,12279363,43585753,14,38,2010,7,16.3234306063737,18.2581618144546,8.21743853773019,17.5902408888646
