API,CasingSize,CasingType,CasingWeight,CementSacks,CompletionDate,LowerSetDepth,UpperSetDepth,WellboreSize,WellId
4232936495,5.5,Casing,17,1175,6/8/2010 12:00:00 AM,10530,,7.875,4e006571-e899-4627-b9c4-7e254f6b16de
4232936495,9.625,Casing,36,240,6/8/2010 12:00:00 AM,342,,13.5,4e006571-e899-4627-b9c4-7e254f6b16de
4232936506,5.5,Casing,17,785,5/19/2010 12:00:00 AM,10830,7164,8.75,69ab89bf-95d8-4208-bf71-2bf8dcfbdddd
4232936506,9.625,Casing,36,350,5/19/2010 12:00:00 AM,465,,12.25,69ab89bf-95d8-4208-bf71-2bf8dcfbdddd
4232936510,9.625,Casing,36,315,,508,0,12.25,ba9a7de6-3387-4a55-8961-56b33db637c8
4232936510,5.5,Casing,17,780,,10808,7456,7.875,ba9a7de6-3387-4a55-8961-56b33db637c8
4232931460,9.625,Casing,0,0,11/2/1986 12:00:00 AM,0,,,e90e85a0-9875-4141-871e-99ed8d8333cd
4232931460,9.625,Casing,48.5,2175,12/15/2020 12:00:00 AM,5797,,12.25,e90e85a0-9875-4141-871e-99ed8d8333cd
4232931460,9.625,Casing,43.5,2175,6/12/2010 12:00:00 AM,5797,,12.25,e90e85a0-9875-4141-871e-99ed8d8333cd
4232931460,20,Casing,0,0,11/2/1986 12:00:00 AM,40,,,e90e85a0-9875-4141-871e-99ed8d8333cd
4232931460,13.375,Casing,48,275,12/15/2020 12:00:00 AM,305,,17.5,e90e85a0-9875-4141-871e-99ed8d8333cd
4232931460,5.5,Casing,17,3602,12/15/2020 12:00:00 AM,13401,,7.875,e90e85a0-9875-4141-871e-99ed8d8333cd
4232936507,12.75,Casing,35,300,5/18/2010 12:00:00 AM,330,,17.5,bb9db551-e43b-46a0-a125-c6ae85956552
4232936507,4.5,Casing,11.6,1030,5/18/2010 12:00:00 AM,10190,4070,7.875,bb9db551-e43b-46a0-a125-c6ae85956552
4232936507,8.625,Casing,32,475,5/18/2010 12:00:00 AM,5174,2031,11,bb9db551-e43b-46a0-a125-c6ae85956552
4232936505,5.5,Casing,17,1290,,10400,4590,8.75,bca834d4-4eb8-4f03-9cbd-d0d689507e55
4232936505,9.625,Casing,36,800,,1421,0,12.25,bca834d4-4eb8-4f03-9cbd-d0d689507e55
4232936509,5.5,Casing,17,780,8/19/2010 12:00:00 AM,10811,7332,8.75,74fd95aa-11c8-4d4a-a3e9-ebd3c2d302a6
4232936509,9.625,Casing,36,315,8/19/2010 12:00:00 AM,488,,12.25,74fd95aa-11c8-4d4a-a3e9-ebd3c2d302a6
4232936508,9.625,Casing,36,315,6/1/2010 12:00:00 AM,500,,12.25,309254c5-78d9-48cb-9454-ee734cc7368e
4232936508,5.5,Casing,17,800,6/1/2010 12:00:00 AM,10850,6850,8.75,309254c5-78d9-48cb-9454-ee734cc7368e
4232936511,5.5,Casing,17,715,6/22/2010 12:00:00 AM,10840,6950,8.75,585fa349-6a93-463b-9e0c-2a0669e8a630
4232936511,9.625,Casing,36,315,6/22/2010 12:00:00 AM,500,,12.25,585fa349-6a93-463b-9e0c-2a0669e8a630
4232936513,8.625,Casing,32,475,5/1/2010 12:00:00 AM,5103,1918,11,a19618dd-70e9-4a0a-aa37-89a0eb5151bf
4232936513,4.5,Casing,11.6,1080,5/1/2010 12:00:00 AM,10162,4018,7.875,a19618dd-70e9-4a0a-aa37-89a0eb5151bf
4232936513,12.75,Casing,35,325,5/1/2010 12:00:00 AM,298,,17.5,a19618dd-70e9-4a0a-aa37-89a0eb5151bf
4232936529,4.5,Casing,11.6,1050,6/29/2010 12:00:00 AM,10652,6030,7.875,4e34b457-774a-4726-8e6c-14b5924b8255
4232936529,12.75,Casing,35,350,6/29/2010 12:00:00 AM,360,,17.5,4e34b457-774a-4726-8e6c-14b5924b8255
4232936529,8.625,Casing,23,200,6/29/2010 12:00:00 AM,4927,360,11,4e34b457-774a-4726-8e6c-14b5924b8255
4232936531,5.5,Casing,17,1100,6/4/2010 12:00:00 AM,10437,3020,7.875,c1acb4e2-51f3-4a36-952e-24f707ea7a73
4232936531,8.625,Casing,32,1180,6/4/2010 12:00:00 AM,4613,,11,c1acb4e2-51f3-4a36-952e-24f707ea7a73
4232936531,13.375,Casing,68,350,6/4/2010 12:00:00 AM,309,,17.5,c1acb4e2-51f3-4a36-952e-24f707ea7a73
4232936521,4.5,Casing,11.6,1050,7/29/2010 12:00:00 AM,10592,6430,7.875,5b3a0b26-e119-416d-8288-74792cdec240
4232936521,12.75,Casing,34,350,7/29/2010 12:00:00 AM,400,,17.5,5b3a0b26-e119-416d-8288-74792cdec240
4232936514,12.75,Casing,35,350,7/8/2010 12:00:00 AM,360,,17.5,be68d8a8-08c0-4aca-a96d-7f76ce441f59
4232936514,4.5,Casing,11.6,1050,7/8/2010 12:00:00 AM,10635,7134,7.875,be68d8a8-08c0-4aca-a96d-7f76ce441f59
4232936518,12.75,Casing,34,350,10/30/2010 12:00:00 AM,360,,17.5,f731eded-2893-4b23-a096-87ee54482ca5
