Api,Wellid,Reservoir,Cumulativeoil,Cumulativegas,Cumulativeboe,Cumulativewater,Cumulativedays,Firstproddate,Lastproddate,Lasttestdate,Ipoil,Ipgas,Firstthreemonthoil,Firstthreemonthmaxoil,Firstthreemonthoildecline,Firstthreemonthgas,Firstthreemonthmaxgas,Firstthreemonthgasdecline,Firstthreemonthboe,Firstthreemonthmaxboe,Firstthreemonthboedecline,Firstthreemonthwater,Firstthreemonthmaxwater,Firstthreemonthwaterdecline,Firstthreemonthdays,Firstsixmonthoil,Firstsixmonthoildecline,Firstsixmonthgas,Firstsixmonthgasdecline,Firstsixmonthboe,Firstsixmonthboedecline,Firstsixmonthwater,Firstsixmonthwaterdecline,Firstsixmonthdays,Firsttwelvemonthoil,Firsttwelvemonthoildecline,Firsttwelvemonthgas,Firsttwelvemonthgasdecline,Firsttwelvemonthboe,Firsttwelvemonthboedecline,Firsttwelvemonthwater,Firsttwelvemonthwaterdecline,Firsttwelvemonthdays,Firsttwentyfourmonthoil,Firsttwentyfourmonthoildecline,Firsttwentyfourmonthgas,Firsttwentyfourmonthgasdecline,Firsttwentyfourmonthboe,Firsttwentyfourmonthboedecline,Firsttwentyfourmonthwater,Firsttwentyfourmonthwaterdecline,Firsttwentyfourmonthdays,Firstthirtysixmonthoil,Firstthirtysixmonthoildecline,Firstthirtysixmonthgas,Firstthirtysixmonthgasdecline,Firstthirtysixmonthboe,Firstthirtysixmonthboedecline,Firstthirtysixmonthwater,Firstthirtysixmonthwaterdecline,Firstthirtysixmonthdays,Firstsixtymonthoil,Firstsixtymonthoildecline,Firstsixtymonthgas,Firstsixtymonthgasdecline,Firstsixtymonthboe,Firstsixtymonthboedecline,Firstsixtymonthwater,Firstsixtymonthwaterdecline,Firstsixtymonthdays,Maxmonthoil,Maxoilmonthdays,Maxoilmonth,Maxoilmonthnumber,Maxmonthgas,Maxgasmonthdays,Maxgasmonth,Maxgasmonthnumber,Maxmonthboe,Maxboemonthdays,Maxboemonth,Maxboemonthnumber,Maxmonthwater,Maxwatermonthdays,Maxwatermonth,Maxwatermonthnumber,Maxthreemonthoil,Maxoilthreemonthdays,Maxthreemonthgas,Maxgasthreemonthdays,Maxthreemonthboe,Maxboethreemonthdays,Maxthreemonthwater,Maxwaterthreemonthdays,Maxsixmonthoil,Maxoilsixmonthdays,Maxsixmonthgas,Maxgassixmonthdays,Maxsixmonthboe,Maxboesixmonthdays,Maxsixmonthwater,Maxwatersixmonthdays,Maxtwelvemonthoil,Maxoiltwelvemonthdays,Maxtwelvemonthgas,Maxgastwelvemonthdays,Maxtwelvemonthboe,Maxboetwelvemonthdays,Maxtwelvemonthwater,Maxwatertwelvemonthdays,Lastsixmonthoil,Lastsixmonthoildecline,Lastsixmonthgas,Lastsixmonthgasdecline,Lastsixmonthboe,Lastsixmonthboedecline,Lastsixmonthwater,Lastsixmonthwaterdecline,Lastsixmonthdays,Lasttwelvemonthoil,Lasttwelvemonthoildecline,Lasttwelvemonthgas,Lasttwelvemonthgasdecline,Lasttwelvemonthboe,Lasttwelvemonthboedecline,Lasttwelvemonthwater,Lasttwelvemonthwaterdecline,Lasttwelvemonthdays,Datecreated,Datelastmodified,Totalproducingdays,Totalproducingmonths,Firstmonthoil,Firstmonthgas,Firstmonthwater,Firstmonthboe,Lastmonthoil,Lastmonthgas,Lastmonthwater,Lastmonthboe,Eurboe,Euroil,Eurgas,Eurwater,Firsttwomonthoil,Firsttwomonthmaxoil,Firsttwomonthoildecline,Firsttwomonthgas,Firsttwomonthmaxgas,Firsttwomonthgasdecline,Firsttwomonthboe,Firsttwomonthmaxboe,Firsttwomonthboedecline,Firsttwomonthwater,Firsttwomonthmaxwater,Firsttwomonthwaterdecline,Firsttwomonthdays
05067095330000,80670f49-05f3-422c-81cc-5ab69f799d83,FRLDC,0,6144,1024,1227,31,1/1/2018 12:00:00 AM,1/1/2018 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,31,1/1/2018 12:00:00 AM,1,6144,31,1/1/2018 12:00:00 AM,1,1024,31,1/1/2018 12:00:00 AM,1,1227,31,1/1/2018 12:00:00 AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/23/2017 4:11:26 AM,9/23/2017 4:11:26 AM,31,1,0,6144,1227,1024,0,6144,1227,1024,,,,,,,,,,,,,,,,,
25101242340000,a9d042fe-679a-4e92-ae00-3ca445aed8ba,Swift,15,0,15,4800,59,1/1/2018 12:00:00 AM,2/1/2018 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,28,2/1/2018 12:00:00 AM,2,0,31,1/1/2018 12:00:00 AM,1,10,28,2/1/2018 12:00:00 AM,2,2400,31,1/1/2018 12:00:00 AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/26/2018 9:34:42 AM,2/26/2018 9:33:17 AM,59,2,5,0,2400,5,10,0,2400,10,,,,,15,,50,0,,0,15,,50,4800,,0,59
3002541378,35b7a95e-6175-4f2a-9d56-afc01e0ec300,"BONE SPRING, NORTH",6176,6529,7264.16650390625,21817,31,1/1/2018 12:00:00 AM,1/1/2018 12:00:00 AM,1/28/2018 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6176,31,1/1/2018 12:00:00 AM,1,6529,31,1/1/2018 12:00:00 AM,1,7264.16650390625,31,1/1/2018 12:00:00 AM,1,21817,31,1/1/2018 12:00:00 AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/17/2017 9:56:09 PM,11/17/2017 9:56:09 PM,31,1,6176,6529,21817,7264.16650390625,6176,6529,21817,7264.16650390625,,,,,,,,,,,,,,,,,
33025026090000,61db6d29-7a76-4d4e-a440-0d974a58d36d,BAKKEN,22782,18683,25895.8330078125,26976,59,1/1/2018 12:00:00 AM,2/1/2018 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13770,28,2/1/2018 12:00:00 AM,2,11751,28,2/1/2018 12:00:00 AM,2,15728.5,28,2/1/2018 12:00:00 AM,2,15879,28,2/1/2018 12:00:00 AM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/21/2017 6:12:57 AM,11/21/2017 6:12:57 AM,59,2,9012,6932,11097,10167.3330078125,13770,11751,15879,15728.5,,,,,22782,,34.5533769063181,18683,,41.0092758063144,25895.8330078125,,35.3572622448899,26976,,30.1152465520499,59
33025026100000,9f11cba5-5b23-4e34-ac9d-39780c6be214,BAKKEN,20351,14966,22845.3330078125,21268,59,1/1/2018 12:00:00 AM,2/1/2018 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12517,28,2/1/2018 12:00:00 AM,2,9747,28,2/1/2018 12:00:00 AM,2,14141.5,28,2/1/2018 12:00:00 AM,2,13440,28,2/1/2018 12:00:00 AM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/21/2017 6:12:57 AM,11/21/2017 6:12:57 AM,59,2,7834,5219,7828,8703.8330078125,12517,9747,13440,14141.5,,,,,20351,,37.4131181593034,14966,,46.4553195855135,22845.3330078125,,38.4518402728671,21268,,41.7559523809524,59
33105025900000,8922196d-65ef-49c9-a1d1-b75ba0530931,BAKKEN,9603,0,9603,22134,31,1/1/2018 12:00:00 AM,1/1/2018 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9603,31,1/1/2018 12:00:00 AM,1,0,31,1/1/2018 12:00:00 AM,1,9603,31,1/1/2018 12:00:00 AM,1,22134,31,1/1/2018 12:00:00 AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/21/2017 6:31:21 AM,11/21/2017 6:31:21 AM,31,1,9603,0,22134,9603,9603,0,22134,9603,,,,,,,,,,,,,,,,,
33105025890000,dd387aee-1837-411a-89c1-b7bf77f4a02b,BAKKEN,6176,0,6176,30993,31,1/1/2018 12:00:00 AM,1/1/2018 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6176,31,1/1/2018 12:00:00 AM,1,0,31,1/1/2018 12:00:00 AM,1,6176,31,1/1/2018 12:00:00 AM,1,30993,31,1/1/2018 12:00:00 AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/21/2017 6:31:21 AM,11/21/2017 6:31:21 AM,31,1,6176,0,30993,6176,6176,0,30993,6176,,,,,,,,,,,,,,,,,
35121220360001,5a3d38da-e2df-4c45-9a5e-326642f6dcd8,UPPER BOOCH,0,384,64,0,31,1/1/2018 12:00:00 AM,1/1/2018 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,31,1/1/2018 12:00:00 AM,1,384,31,1/1/2018 12:00:00 AM,1,64,31,1/1/2018 12:00:00 AM,1,0,31,1/1/2018 12:00:00 AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/22/2017 1:36:30 AM,11/22/2017 1:36:30 AM,31,1,0,384,0,64,0,384,0,64,,,,,,,,,,,,,,,,,
4301351078,b709449c-230a-4282-8973-1e4bf0759f5e,WASATCH,6544,0,6544,2021,31,1/1/2018 12:00:00 AM,1/1/2018 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6544,31,1/1/2018 12:00:00 AM,1,0,31,1/1/2018 12:00:00 AM,1,6544,31,1/1/2018 12:00:00 AM,1,2021,31,1/1/2018 12:00:00 AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/29/2017 9:07:35 AM,9/29/2017 9:07:35 AM,31,1,6544,0,2021,6544,6544,0,2021,6544,,,,,,,,,,,,,,,,,
33053063260000,ab2fa47d-0472-48e9-b2cc-4b5c5fb9ec68,BAKKEN,781,0,781,12689,31,1/1/2018 12:00:00 AM,1/1/2018 12:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,781,31,1/1/2018 12:00:00 AM,1,0,31,1/1/2018 12:00:00 AM,1,781,31,1/1/2018 12:00:00 AM,1,12689,31,1/1/2018 12:00:00 AM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/20/2017 10:48:12 PM,9/20/2017 10:48:12 PM,31,1,781,0,12689,781,781,0,12689,781,,,,,,,,,,,,,,,,,
