API,Comments,LowerPerf,PerfDate,Reservoir,UpperPerf,WellId
35121220360001,,0,,,0,5a3d38da-e2df-4c45-9a5e-326642f6dcd8
3002120638,,2090,9/27/2014 12:00:00 AM,BRAVO DOME CARBON DIOXIDE GAS 640,2050,2313e93e-9d78-43de-b078-7e34b846fa12
3001543300,,4313,12/26/2017 12:00:00 AM,ATOKA; GLORIETA-YESO,2590,8a97ca63-29cd-4df8-92b9-a82e9336bb80
3002542116,,4864,,VACUUM; GRAYBURG-SAN ANDRES,4727,85f88048-142e-4b8d-9a94-c6623b6cb933
3001542732,,13881,,PURPLE SAGE; WOLFCAMP (GAS),9179,22977fc2-ac43-4926-9afd-c8448b5b40c7
3001542733,,13935,,PURPLE SAGE; WOLFCAMP (GAS),9316,11cf397e-98f8-413e-a017-cd3d8e1f1634
3002542701,,14587,,E-K; BONE SPRING,9997,becb693d-9003-4e3f-9118-dc7fdf174b33
3001543555,,16385,,PURPLE SAGE; WOLFCAMP (GAS),9583,27c90a6b-cc67-4371-8879-21447f96a900
3002542837,,17653,,RED HILLS; WOLFCAMP (GAS),13150,0363c448-7a6e-4bee-b654-a6e23e1bc74e
3001543520,,9508,,CEDAR LAKE; GLORIETA-YESO,5954,be57b523-0787-475f-a2b1-e7f8295dd875
3002541378,,16397,,"BERRY; BONE SPRING, NORTH",11868,35b7a95e-6175-4f2a-9d56-afc01e0ec300
05083066010100,,10500,,,8190,9f962611-e3cf-4be0-b506-02a1213275fc
05083064380100,,9230,,,8052,982bd314-9d10-42f9-854e-ea0eede7f8cd
05083063800100,,9343,,,8147,bcb3a84d-37fa-4d1b-8181-fa2a43b75eb8
3001543690,,15700,,PURPLE SAGE; WOLFCAMP (GAS),9010,20c3956f-4712-48e1-a0b6-24194bc93e29
3001543687,,15747,,PURPLE SAGE; WOLFCAMP (GAS),9057,40238563-c89d-434b-bbbf-29cee824ede8
3002543184,,20725,,BRADLEY; BONE SPRING,11602,ab3bb222-0d05-47d0-854d-5fd5b153fb34
3002543186,,19431,,WC-025 G-06 S263407P; UPR BONE SPRIN,10102,23e96e71-7737-487c-a191-6f54124b0672
3002543252,,14249,,"TEAS; BONE SPRING, EAST",9711,86e025f7-e72e-41ba-89f7-398c498f6ebf
3001543784,,17125,,"PALMILLO; BONE SPRING, EAST",7740,d4e8d5a5-e9bd-4ddd-b988-ce549128a5c4
3002543250,,15945,,"TEAS; BONE SPRING, EAST",11420,f6bd0987-635d-42be-ad38-4b476a6eeb9b
3002543370,,11375,,"MALJAMAR; YESO, WEST",6451,85e61139-d3ad-44f1-938d-4c0501cc550e
3001543869,,13647,,PURPLE SAGE; WOLFCAMP (GAS),9289,34e06e8e-a7f2-45dd-8e7b-9feb18011fe8
3001543999,,10335,12/17/2017 12:00:00 AM,N. SEVEN RIVERS; GLORIETA-YESO,3015,703b4f78-af7e-40f0-a0e3-6fb9dd2205a0
35107235850000,,0,,GILCREASE,0,e64a5190-0de7-4715-b928-11a60007cd07
35107235850000,,2798,,GILCREASE,2794,e64a5190-0de7-4715-b928-11a60007cd07
3002543577,,17221,,RED HILLS; WOLFCAMP (GAS),12822,85c07af8-ce1d-4952-931b-cf9f4c1b2394
3001544063,,16671,12/13/2017 12:00:00 AM,PURPLE SAGE; WOLFCAMP (GAS),10078,a3468f88-a191-4100-9f8e-2355e17d1eb8
3002543675,,19196,,WC-025 G-06 S263319P; BONE SPRING,9227,b563fa43-6dff-43ae-9c5a-6287df3a96ef
3002543674,,19132,,WC-025 G-06 S263319P; BONE SPRING,9188,7dc797d6-64ec-4f9a-a22e-75fabae5731c
3001544106,,15339,,PADUCA; BONE SPRING (O),10703,8380b2a9-b99e-4f5c-9516-99d482aa9df1
3002543673,,19103,,WC-025 G-06 S263319P; BONE SPRING,9186,0bcc9e07-248f-4533-8b36-b79a340c413b
3001544121,,18440,,"PARKWAY; BONE SPRING, WEST",9113,74b48660-575f-4ad6-9b5e-64424ecb2935
3001544142,,17642,,TURKEY TRACK;BONE SPRING,8261,43fc1e7a-f061-4182-833d-b5b44e102c4d
3001544142,,17642,,TURKEY TRACK; BONE SPRING,8017,43fc1e7a-f061-4182-833d-b5b44e102c4d
3001544156,,17817,,TURKEY TRACK; BONE SPRING,7997,26d9fca5-b3bb-44f7-bc5d-d441fdd9056c
3001544154,,17940,,TURKEY TRACK;BONE SPRING,8244,5778f9bf-bfcb-4056-8176-d86dff38aa3f
3001544154,,17940,,TURKEY TRACK; BONE SPRING,8120,5778f9bf-bfcb-4056-8176-d86dff38aa3f
3001544199,,14968,,PADUCA; BONE SPRING (O),10410,69eece01-8351-43af-b858-16c53cc31670
3002543838,,21915,,WC-025 G-09 S243532M; WOLFBONE,12645,d5e789c2-8715-44d7-bec1-be63b86d4d1d
3002543846,,4606,,HOBBS; GRAYBURG-SAN ANDRES,4462,55c1b1e8-ba5b-4090-a84c-abc59f76d33c
3002543883,,14664,,E-K; BONE SPRING,10074,1574caf7-0adb-40c5-a505-d39fb1334eb2
3002543884,,14686,,E-K; BONE SPRING,10012,53510097-2cb5-4300-91e6-e6c204845325
35153236050000,,12969,,MISSISSIPPIAN,10191,1ead228d-29a7-4694-b082-1f2012138e2e
35153236050000,,0,,MISSISSIPPIAN,0,1ead228d-29a7-4694-b082-1f2012138e2e
35039224950000,,24845,,WOODFORD,15068,61a820c6-348a-4088-bf50-2a119a460211
35039224950000,,24845,,WOODFORD,15109,61a820c6-348a-4088-bf50-2a119a460211
35039224950000,,0,,WOODFORD,0,61a820c6-348a-4088-bf50-2a119a460211
35039224950000,,0,,MISSISSIPPIAN,12736,61a820c6-348a-4088-bf50-2a119a460211
35039224950000,,0,,MISSISSIPPIAN,0,61a820c6-348a-4088-bf50-2a119a460211
35039224950000,,0,,WOODFORD/MISSISSIPPIAN,0,61a820c6-348a-4088-bf50-2a119a460211
35039224950000,,0,,WOODFORD-MISSISSIPPIAN,0,61a820c6-348a-4088-bf50-2a119a460211
35039224950000,,15063,,MISSISSIPPIAN,15060,61a820c6-348a-4088-bf50-2a119a460211
