WellId,API,Date,Oil,Gas,Water,State,County,Field,Operator,Days,DailyOil,DailyGas,DailyWater
0bcc9e07-248f-4533-8b36-b79a340c413b,3002543673,1/1/2018 12:00:00 AM,9935,14558,37134,New Mexico,LEA,WC-025 G-06 S263319P,CHEVRON U S A INC,9,1104,1618,4126
b563fa43-6dff-43ae-9c5a-6287df3a96ef,3002543675,1/1/2018 12:00:00 AM,11125,16598,42305,New Mexico,LEA,WC-025 G-06 S263319P,CHEVRON U S A INC,9,1236,1844,4701
20c3956f-4712-48e1-a0b6-24194bc93e29,3001543690,1/1/2018 12:00:00 AM,4647,16223,80287,New Mexico,EDDY,PURPLE SAGE,"CHISHOLM ENERGY OPERATING, LLC",22,211,737,3649
4cdaedc4-9844-448b-991a-76da7e1d0293,3002544123,1/1/2018 12:00:00 AM,1250,1423,301,New Mexico,LEA,MALJAMAR,"CML EXPLORATION, LLC",12,104,119,25
703b4f78-af7e-40f0-a0e3-6fb9dd2205a0,3001543999,1/1/2018 12:00:00 AM,10702,7907,25179,New Mexico,EDDY,N. SEVEN RIVERS,COG OPERATING LLC,22,486,359,1145
85f88048-142e-4b8d-9a94-c6623b6cb933,3002542116,1/1/2018 12:00:00 AM,17,4306,164006,New Mexico,LEA,VACUUM,CONOCOPHILLIPS COMPANY,31,1,139,5291
1ef1ccfc-5c9b-43e9-b2fc-cd1bddc2549a,33053070610000,1/1/2018 12:00:00 AM,2373,5006,5788,North Dakota,MC KENZIE,,"CONTINENTAL RESOURCES, INC.",6,396,834,965
2a5e5a33-dd4d-49f0-b41e-db043b07f4d2,33053078230000,1/1/2018 12:00:00 AM,822,1758,3634,North Dakota,MC KENZIE,,"CONTINENTAL RESOURCES, INC.",4,206,440,909
00595df1-52de-4c90-9af7-a0911113c34c,33025029680000,2/1/2018 12:00:00 AM,10136,11053,53185,North Dakota,DUNN,,"CONTINENTAL RESOURCES, INC.",28,362,395,1899
00595df1-52de-4c90-9af7-a0911113c34c,33025029680000,1/1/2018 12:00:00 AM,8370,8312,48628,North Dakota,DUNN,,"CONTINENTAL RESOURCES, INC.",24,349,346,2026
36e8b51f-32c5-45bb-9e79-0c281b833865,33053068220000,1/1/2018 12:00:00 AM,792,871,1027,North Dakota,MC KENZIE,,"CONTINENTAL RESOURCES, INC.",7,113,124,147
a49790bf-b4b2-4558-8813-07f3f072ad93,33025029690000,2/1/2018 12:00:00 AM,7183,7150,48438,North Dakota,DUNN,,"CONTINENTAL RESOURCES, INC.",28,257,255,1730
a49790bf-b4b2-4558-8813-07f3f072ad93,33025029690000,1/1/2018 12:00:00 AM,5903,5731,50313,North Dakota,DUNN,,"CONTINENTAL RESOURCES, INC.",24,246,239,2096
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,1/1/2018 12:00:00 AM,1709,3881,591,North Dakota,MC KENZIE,,"CONTINENTAL RESOURCES, INC.",9,190,431,66
5eae641d-4f6a-41ba-b5c7-78af15b3029e,33053070620000,1/1/2018 12:00:00 AM,1584,2660,3424,North Dakota,MC KENZIE,,"CONTINENTAL RESOURCES, INC.",6,264,443,571
