WellId,API,Leg,MeasuredDepth,Incline,Azimuth,TVD,FtNS,NS,ftEW,EW,Latitude,Longitude
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,VERT,7016,0.6,218.8,7015.75,10.79,S,20.49,W,47.99382,-103.3927
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,LAT1,10991,55.3,304,10897.21,83.63,N,259.13,W,47.99408,-103.3937
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,LAT1,12381,89.4,358.6,11103.43,1371.46,N,463.14,W,47.99762,-103.3945
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,VERT,3513,0.3,166.2,3512.81,5.2,S,18.82,W,47.99384,-103.3927
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,LAT1,11211,67,332.4,11000.7,231.12,N,381.61,W,47.99448,-103.3942
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,VERT,6542,0.4,232.7,6541.77,7.59,S,17.21,W,47.99383,-103.3927
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,LAT1,21820,91.2,357.6,11085.17,10805.47,N,502.11,W,48.0235,-103.3946
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,VERT,7678,0.6,117.9,7677.69,17.86,S,23.01,W,47.9938,-103.3927
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,LAT1,13309,90.4,358.9,11092.33,2298.78,N,487.57,W,48.00016,-103.3946
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,VERT,3892,0.3,129.4,3891.81,7.31,S,17.59,W,47.99383,-103.3927
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,LAT1,11369,72.4,343.9,11055.74,367.78,N,437.89,W,47.99486,-103.3944
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,LAT1,16523,90.3,1.2,11079.71,5511.6,N,506.93,W,48.00897,-103.3947
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,LAT1,21631,89.3,357.8,11085.9,10616.62,N,495.02,W,48.02298,-103.3946
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,VERT,5407,0.5,176.1,5406.78,7.44,S,16.77,W,47.99383,-103.3927
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,LAT1,14824,89.2,359.3,11095.95,3813.42,N,474.21,W,48.00431,-103.3945
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,VERT,10329,0.1,135.8,10328.55,24.45,S,17.51,W,47.99379,-103.3927
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,LAT1,18509,90.5,358.8,11084.86,7496.45,N,476.9,W,48.01442,-103.3945
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,LAT1,15012,90,358.3,11099.4,4001.34,N,478.15,W,48.00483,-103.3946
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,LAT1,20400,89.8,1.3,11090.17,9385.98,N,480.75,W,48.0196,-103.3946
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,LAT1,20116,92.7,2.5,11094.88,9102.27,N,490.82,W,48.01883,-103.3946
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,VERT,6353,0.2,220.5,6352.78,6.8,S,16.37,W,47.99383,-103.3927
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,LAT1,12935,92.3,357.9,11100.29,1925.23,N,474.18,W,47.99913,-103.3945
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,LAT1,10581,17.6,303.6,10578.3,12.28,S,36.22,W,47.99382,-103.3927
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,VERT,10235,0.3,112.6,10234.55,24.3,S,17.8,W,47.99379,-103.3927
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,LAT1,19171,89.2,359.6,11083.93,8157.97,N,495.04,W,48.01623,-103.3946
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,LAT1,17185,90.9,2.2,11080.07,6173.34,N,502.29,W,48.01079,-103.3947
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,LAT1,15673,89.3,358.7,11082.99,4661.93,N,491.82,W,48.00664,-103.3946
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,LAT1,16429,91.1,359.3,11080.86,5417.61,N,507.34,W,48.00872,-103.3947
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,VERT,9004,0.5,357,9003.6,23.98,S,27.61,W,47.99379,-103.3927
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,LAT1,11920,89.1,0.3,11105.58,910.66,N,454.84,W,47.99635,-103.3945
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,VERT,5880,0.2,88.3,5879.78,8.35,S,16.69,W,47.99383,-103.3927
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,LAT1,15201,91,359,11096.92,4190.3,N,481.03,W,48.00535,-103.3946
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,LAT1,17375,89,3.3,11081.48,6363.1,N,492.93,W,48.01131,-103.3946
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,VERT,4081,0.3,85.3,4080.8,7.71,S,16.73,W,47.99383,-103.3927
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,VERT,5691,0.1,352.4,5690.78,8.29,S,17.14,W,47.99383,-103.3927
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,VERT,2187,0.4,207.9,2186.98,0.54,S,1.28,W,47.99385,-103.3926
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,VERT,8625,0.7,266.9,8624.62,25.96,S,24.8,W,47.99378,-103.3927
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,LAT1,12288,88.6,358.2,11101.8,1278.51,N,460.54,W,47.99736,-103.3945
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,VERT,7110,0.7,191.3,7109.74,11.74,S,20.91,W,47.99382,-103.3927
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,VERT,5974,0.3,47.3,5973.78,8.18,S,16.35,W,47.99383,-103.3927
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,VERT,9098,0.3,37.6,9097.6,23.37,S,27.48,W,47.99379,-103.3927
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,VERT,6637,0.4,225.4,6636.77,8.02,S,17.71,W,47.99383,-103.3927
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,VERT,8531,0.6,246.3,8530.63,25.73,S,23.78,W,47.99378,-103.3927
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,VERT,5028,0.1,340.6,5027.79,6.08,S,17.56,W,47.99384,-103.3927
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,LAT1,15295,91.3,358.1,11095.03,4284.25,N,483.41,W,48.0056,-103.3946
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,VERT,2471,0.9,216.5,2470.97,2.89,S,2.59,W,47.99384,-103.3926
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,LAT1,11180,66.5,329.4,10988.46,206.24,N,367.76,W,47.99442,-103.3941
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,LAT1,15106,91,359.6,11098.58,4095.32,N,479.87,W,48.00509,-103.3946
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,VERT,9193,0.6,42.6,9192.6,22.81,S,26.99,W,47.99379,-103.3927
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,VERT,5501,0.3,186.4,5500.78,8.09,S,16.77,W,47.99383,-103.3927
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,VERT,6732,0.6,234.1,6731.77,8.55,S,18.35,W,47.99383,-103.3927
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,VERT,8436,0.6,229.4,8435.63,25.2,S,22.94,W,47.99378,-103.3927
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,LAT1,12104,91.3,358.9,11105.58,1094.64,N,455.97,W,47.99685,-103.3945
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,VERT,2281,0.4,193.5,2280.98,1.15,S,1.51,W,47.99385,-103.3926
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,VERT,5312,0.4,188.8,5311.79,6.7,S,16.75,W,47.99383,-103.3927
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,LAT1,11736,89.2,1.4,11102.12,726.74,N,458.94,W,47.99585,-103.3945
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,LAT1,14256,90.1,1.5,11096.86,3245.53,N,478.17,W,48.00275,-103.3946
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,VERT,4365,0.1,176.2,4364.8,8,S,16.07,W,47.99383,-103.3927
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,LAT1,16051,89,357.7,11083.24,5039.82,N,498.75,W,48.00768,-103.3946
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,LAT1,13120,90.7,358.2,11092,2109.9,N,481.03,W,47.99964,-103.3946
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,LAT1,10833,42.7,284.3,10795.45,38.42,N,148.27,W,47.99396,-103.3932
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,LAT1,14351,90.6,1.1,11096.28,3340.5,N,476.01,W,48.00302,-103.3945
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,LAT1,11527,79.8,359.2,11096.4,518.16,N,461.02,W,47.99527,-103.3945
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,VERT,3134,1.1,270.7,3133.89,3.99,S,11.94,W,47.99384,-103.3926
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,LAT1,15956,90.5,359.4,11082.82,4944.86,N,496.35,W,48.00742,-103.3946
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,VERT,10140,0.4,123.6,10139.55,24.02,S,18.3,W,47.99379,-103.3927
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,VERT,4838,0.7,246.4,4837.79,6.37,S,17.23,W,47.99384,-103.3927
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,VERT,6448,0.4,225.7,6447.77,7.16,S,16.71,W,47.99383,-103.3927
