API,Comments,EffectiveDate,Field,Orginization,Status,StatusDate,WellName,WellId
3001542732,,10/15/2014 12:00:00 AM,,"[160825] BC OPERATING, INC.                           ",Never Drilled,,[313796] STERLING 20 STATE #002H,22977fc2-ac43-4926-9afd-c8448b5b40c7
3001542732,,11/16/2017 12:00:00 AM,,"[372098] MARATHON OIL PERMIAN LLC                     ",Active,,[318294] STERLING 20 STATE                        #002H,22977fc2-ac43-4926-9afd-c8448b5b40c7
3001542732,,7/7/2017 12:00:00 AM,,"[372098] MARATHON OIL PERMIAN LLC                     ","New, Not Drilled",,[318294] STERLING 20 STATE                        #002H,22977fc2-ac43-4926-9afd-c8448b5b40c7
3001542732,,7/7/2017 12:00:00 AM,,"[372098] MARATHON OIL PERMIAN LLC                     ","New, Not Drilled",,[318294] STERLING 20 STATE                        #002H,22977fc2-ac43-4926-9afd-c8448b5b40c7
3001542732,,7/7/2017 12:00:00 AM,,"[372098] MARATHON OIL PERMIAN LLC                     ","New, Not Drilled",,[318294] STERLING 20 STATE                        #002H,22977fc2-ac43-4926-9afd-c8448b5b40c7
3001542733,,10/15/2014 12:00:00 AM,,#002H,,,"[313797] CASS 16 STATE                           ",11cf397e-98f8-413e-a017-cd3d8e1f1634
3001542733,,10/15/2014 12:00:00 AM,,"[160825] BC OPERATING, INC.                           ","New, Not Drilled",,[313797] CASS 16 STATE                            #002H,11cf397e-98f8-413e-a017-cd3d8e1f1634
3001542733,,10/15/2014 12:00:00 AM,,"
                                    [160825] BC OPERATING, INC.                           
                                ",,,,11cf397e-98f8-413e-a017-cd3d8e1f1634
3001542733,,10/15/2014 12:00:00 AM,,"
                                    #002H
                                ",,,,11cf397e-98f8-413e-a017-cd3d8e1f1634
3001542733,,2/1/2017 12:00:00 AM,,#002H,,,"[313797] CASS 16 STATE                           ",11cf397e-98f8-413e-a017-cd3d8e1f1634
3001542733,,2/1/2017 12:00:00 AM,,"[160825] BC OPERATING, INC.                           ",Cancelled,,[313797] CASS 16 STATE                            #002H,11cf397e-98f8-413e-a017-cd3d8e1f1634
3001542733,,7/7/2017 12:00:00 AM,,"[372098] MARATHON OIL PERMIAN LLC                     ","New, Not Drilled",,[318181] CASS 16 STATE                            #002H,11cf397e-98f8-413e-a017-cd3d8e1f1634
3001542733,,7/7/2017 12:00:00 AM,,"[372098] MARATHON OIL PERMIAN LLC                     ",Active,,[318181] CASS 16 STATE #002H,11cf397e-98f8-413e-a017-cd3d8e1f1634
3001542733,,2/1/2017 12:00:00 AM,,"[160825] BC OPERATING, INC.                           ",New,,[313797] CASS 16 STATE #002H,11cf397e-98f8-413e-a017-cd3d8e1f1634
3001542733,,10/15/2014 12:00:00 AM,,"[160825] BC OPERATING, INC.                           ",New,,[313797] CASS 16 STATE #002H,11cf397e-98f8-413e-a017-cd3d8e1f1634
3002542701,,7/21/2015 12:00:00 AM,,"[22044] MCELVAIN ENERGY, INC                         ",,,"[315044] EK 30 BS2 FEDERAL COM                   ",becb693d-9003-4e3f-9118-dc7fdf174b33
3002542701,,7/21/2015 12:00:00 AM,,"
                                    #001H
                                ",,,,becb693d-9003-4e3f-9118-dc7fdf174b33
3002542701,,7/21/2015 12:00:00 AM,,"[22044] MCELVAIN ENERGY, INC                         ","New, Not Drilled",,[315044] EK 30 BS2 FEDERAL COM                    #001H,becb693d-9003-4e3f-9118-dc7fdf174b33
3002542701,,7/21/2015 12:00:00 AM,,"
                                    [22044] MCELVAIN ENERGY, INC                         
                                ",,,,becb693d-9003-4e3f-9118-dc7fdf174b33
3002542701,,1/1/2018 12:00:00 AM,,"[22044] MCELVAIN ENERGY, INC                         ",Active,,[315044] EK 30 BS2 FEDERAL COM                    #001H,becb693d-9003-4e3f-9118-dc7fdf174b33
3002542701,,1/1/2018 12:00:00 AM,,"[22044] MCELVAIN ENERGY, INC.",Active,,[315044] EK 30 BS2 FEDERAL COM                    #001H,becb693d-9003-4e3f-9118-dc7fdf174b33
3001543555,,12/29/2015 12:00:00 AM,,"[249099] CAZA OPERATING, LLC                          ","New, Not Drilled",,[314249] FOREHAND RANCH 22 STATE                  #008H,27c90a6b-cc67-4371-8879-21447f96a900
3001543555,,12/29/2015 12:00:00 AM,,"
                                    [249099] CAZA OPERATING, LLC                          
                                ",,,,27c90a6b-cc67-4371-8879-21447f96a900
3001543555,,12/29/2015 12:00:00 AM,,"
                                    #008H
                                ",,,,27c90a6b-cc67-4371-8879-21447f96a900
3001543555,,12/29/2015 12:00:00 AM,,#008H,,,"[314249] FOREHAND RANCH 22 STATE                 ",27c90a6b-cc67-4371-8879-21447f96a900
3001543555,,2/1/2017 12:00:00 AM,,#008H,,,"[314249] FOREHAND RANCH 22 STATE                 ",27c90a6b-cc67-4371-8879-21447f96a900
3001543555,,2/1/2017 12:00:00 AM,,"
                                    #008H
                                ",,,,27c90a6b-cc67-4371-8879-21447f96a900
3001543555,,2/1/2017 12:00:00 AM,,"[249099] CAZA OPERATING, LLC                          ",Cancelled,,[314249] FOREHAND RANCH 22 STATE                  #008H,27c90a6b-cc67-4371-8879-21447f96a900
3001543555,,12/17/2017 12:00:00 AM,,"[249099] CAZA OPERATING, LLC                          ",Active,,[314249] FOREHAND RANCH 22 STATE                  #008H,27c90a6b-cc67-4371-8879-21447f96a900
3002542837,,10/7/2015 12:00:00 AM,,"
                                    #001H
                                ",,,,0363c448-7a6e-4bee-b654-a6e23e1bc74e
3002542837,,11/1/2016 12:00:00 AM,,#002H,,,"[317128] SALADO DRAW  10 W0PA FEDERAL            ",0363c448-7a6e-4bee-b654-a6e23e1bc74e
3002542837,,11/1/2016 12:00:00 AM,,"[14744] MEWBOURNE OIL CO                             ","New, Not Drilled",,[317128] SALADO DRAW  10 W0PA FEDERAL             #002H,0363c448-7a6e-4bee-b654-a6e23e1bc74e
3002542837,,10/7/2015 12:00:00 AM,,"
                                    [14744] MEWBOURNE OIL CO                             
                                ",,,,0363c448-7a6e-4bee-b654-a6e23e1bc74e
3002542837,,10/7/2015 12:00:00 AM,,"[14744] MEWBOURNE OIL CO                             ","New, Not Drilled",,[315297] PEPPER RIDGE 15 A3AP FEDERAL COM         #001H,0363c448-7a6e-4bee-b654-a6e23e1bc74e
3002542837,,11/1/2016 12:00:00 AM,,#002H,,,"[317128] SALADO DRAW  10 W0PA FEDERAL            ",0363c448-7a6e-4bee-b654-a6e23e1bc74e
3002542837,,5/5/2017 12:00:00 AM,,#002H,,,,0363c448-7a6e-4bee-b654-a6e23e1bc74e
3002542837,,5/5/2017 12:00:00 AM,,"[14744] MEWBOURNE OIL CO                             ",Active,,[317772] SALADO DRAW 10 W1PA FEDERAL #002H,0363c448-7a6e-4bee-b654-a6e23e1bc74e
3002542837,,11/1/2016 12:00:00 AM,,"
                                    #002H
                                ",,,,0363c448-7a6e-4bee-b654-a6e23e1bc74e
3002542837,,5/6/2017 12:00:00 AM,,#002H,,,,0363c448-7a6e-4bee-b654-a6e23e1bc74e
3002542837,,10/7/2015 12:00:00 AM,,#001H,,,,0363c448-7a6e-4bee-b654-a6e23e1bc74e
3002542837,,5/5/2017 12:00:00 AM,,"[14744] MEWBOURNE OIL CO                             ","New, Not Drilled",,[317772] SALADO DRAW 10 W1PA FEDERAL              #002H,0363c448-7a6e-4bee-b654-a6e23e1bc74e
3002542837,,5/6/2017 12:00:00 AM,,"[14744] MEWBOURNE OIL CO                             ","New, Not Drilled",,[317772] SALADO DRAW 10 W1PA FEDERAL              #002H,0363c448-7a6e-4bee-b654-a6e23e1bc74e
3002542837,,10/7/2015 12:00:00 AM,,"[14744] MEWBOURNE OIL CO                             ",New,,[315297] PEPPER RIDGE 15 A3AP FEDERAL COM #001H,0363c448-7a6e-4bee-b654-a6e23e1bc74e
3002542837,,11/1/2016 12:00:00 AM,,"[14744] MEWBOURNE OIL CO                             ",New,,[317128] SALADO DRAW  10 W0PA FEDERAL #002H,0363c448-7a6e-4bee-b654-a6e23e1bc74e
3002542837,,1/9/2018 12:00:00 AM,,"[14744] MEWBOURNE OIL CO                             ",Active,,[317772] SALADO DRAW 10 W1PA FEDERAL              #002H,0363c448-7a6e-4bee-b654-a6e23e1bc74e
3001543520,,12/17/2015 12:00:00 AM,,"
                                    #409H
                                ",,,,be57b523-0787-475f-a2b1-e7f8295dd875
3001543520,,12/17/2015 12:00:00 AM,,"
                                    [873] APACHE CORP                                  
                                ",,,,be57b523-0787-475f-a2b1-e7f8295dd875
3001543520,,12/17/2015 12:00:00 AM,,"[873] APACHE CORP                                  ",New,,[315935] CEDAR LAKE FEDERAL CA #409H,be57b523-0787-475f-a2b1-e7f8295dd875
3001543520,,12/17/2015 12:00:00 AM,,[873] APACHE CORPORATION,"New, Not Drilled",,[315935] CEDAR LAKE FEDERAL CA                    #409H,be57b523-0787-475f-a2b1-e7f8295dd875
3001543520,,12/17/2015 12:00:00 AM,,#409H,,,,be57b523-0787-475f-a2b1-e7f8295dd875
3001543520,,12/9/2017 12:00:00 AM,,"[873] APACHE CORP                                  ",Active,,[315935] CEDAR LAKE FEDERAL CA                    #409H,be57b523-0787-475f-a2b1-e7f8295dd875
3001543520,,12/9/2017 12:00:00 AM,,[873] APACHE CORPORATION,Active,,[315935] CEDAR LAKE FEDERAL CA                    #409H,be57b523-0787-475f-a2b1-e7f8295dd875
