API,CasingSize,CasingType,CasingWeight,CementSacks,CompletionDate,LowerSetDepth,UpperSetDepth,WellboreSize,WellId
3002541378,,Hole 1,0,0,7/18/2014 12:00:00 AM,1888,0,17.5,35b7a95e-6175-4f2a-9d56-afc01e0ec300
3002541378,,Hole 4,0,0,8/21/2014 12:00:00 AM,16497,11928,8.5,35b7a95e-6175-4f2a-9d56-afc01e0ec300
3002541378,,Production Casing,17,2250,8/24/2014 12:00:00 AM,16477,0,5.5,35b7a95e-6175-4f2a-9d56-afc01e0ec300
3002541378,,Hole 3,0,0,,16477,6126,8.75,35b7a95e-6175-4f2a-9d56-afc01e0ec300
3002541378,,Hole 2,0,0,8/3/2014 12:00:00 AM,6126,1888,12.25,35b7a95e-6175-4f2a-9d56-afc01e0ec300
3002541378,,Intermediate 1 Casing,40,2270,8/4/2014 12:00:00 AM,6126,0,9.625,35b7a95e-6175-4f2a-9d56-afc01e0ec300
3002541378,,Surface Casing,48,960,7/24/2014 12:00:00 AM,1888,0,13.375,35b7a95e-6175-4f2a-9d56-afc01e0ec300
3002541378,,Packer,0,0,,11202,0,2.875,35b7a95e-6175-4f2a-9d56-afc01e0ec300
3002541378,,Tubing 1,0,0,,11238,0,2.875,35b7a95e-6175-4f2a-9d56-afc01e0ec300
3002541378,,Intermediate 1 Casing,36,2270,,6126,0,9.625,35b7a95e-6175-4f2a-9d56-afc01e0ec300
3002541378,,Production Casing,17,2250,,16477,0,5.5,35b7a95e-6175-4f2a-9d56-afc01e0ec300
33053063260000,625,,,,,,2364,,ab2fa47d-0472-48e9-b2cc-4b5c5fb9ec68
33053063260000,,,,,,,11307,,ab2fa47d-0472-48e9-b2cc-4b5c5fb9ec68
33053063270000,625,,,,,,2361,,ba191a79-8e71-40a2-b036-53dca80ed7d2
33053063270000,,,,,,,11231,,ba191a79-8e71-40a2-b036-53dca80ed7d2
33053063290000,625,,,,,,2366,,a77f7e87-0073-4320-993f-c26a7daa39a9
33053063290000,,,,,,,11288,,a77f7e87-0073-4320-993f-c26a7daa39a9
33053068210000,,,,,,,11637,,2e852d7a-bea1-4e3c-9f93-01df39214ec1
33053068210000,625,,,,,,2013,,2e852d7a-bea1-4e3c-9f93-01df39214ec1
33053068220000,625,,,,,,2003,,36e8b51f-32c5-45bb-9e79-0c281b833865
33053068220000,,,,,,,11387,,36e8b51f-32c5-45bb-9e79-0c281b833865
33053068200000,625,,,,,,2019,,3753191c-0b63-4381-a7a7-ef5aceea585e
33053068200000,,,,,,,11400,,3753191c-0b63-4381-a7a7-ef5aceea585e
33025029690000,,,,,,,11259,,a49790bf-b4b2-4558-8813-07f3f072ad93
33025029690000,625,,,,,,2281,,a49790bf-b4b2-4558-8813-07f3f072ad93
33025029680000,625,,,,,,2298,,00595df1-52de-4c90-9af7-a0911113c34c
33025029680000,,,,,,,11278,,00595df1-52de-4c90-9af7-a0911113c34c
33053070620000,625,,,,,,2169,,5eae641d-4f6a-41ba-b5c7-78af15b3029e
33053070620000,,,,,,,11586,,5eae641d-4f6a-41ba-b5c7-78af15b3029e
33053070610000,,,,,,,11346,,1ef1ccfc-5c9b-43e9-b2fc-cd1bddc2549a
33053070610000,625,,,,,,2171,,1ef1ccfc-5c9b-43e9-b2fc-cd1bddc2549a
3002120638,,Surface Casing,24,400,8/6/2014 12:00:00 AM,772,0,8.625,2313e93e-9d78-43de-b078-7e34b846fa12
3002120638,,Production Casing,15.5,0,8/10/2014 12:00:00 AM,2245,2060,5.5,2313e93e-9d78-43de-b078-7e34b846fa12
3002120638,,Hole 1,0,0,8/6/2014 12:00:00 AM,792,0,12.25,2313e93e-9d78-43de-b078-7e34b846fa12
3002120638,,Hole 2,0,0,8/10/2014 12:00:00 AM,2270,792,7.875,2313e93e-9d78-43de-b078-7e34b846fa12
3001543300,,Surface Casing,24,800,,1240,0,8.625,8a97ca63-29cd-4df8-92b9-a82e9336bb80
3001543300,,Hole 2,0,0,,4500,1240,7.875,8a97ca63-29cd-4df8-92b9-a82e9336bb80
3001543300,,Tubing 1,0,0,,2895,0,2.875,8a97ca63-29cd-4df8-92b9-a82e9336bb80
3001543300,,Hole 1,0,0,,1240,0,12.25,8a97ca63-29cd-4df8-92b9-a82e9336bb80
3001543300,,Production Casing,17,900,,4500,0,5.5,8a97ca63-29cd-4df8-92b9-a82e9336bb80
3002542116,,Hole 1,0,0,8/22/2017 12:00:00 AM,1563,0,13.5,85f88048-142e-4b8d-9a94-c6623b6cb933
3002542116,,Production Casing,23,768,,5162,0,7,85f88048-142e-4b8d-9a94-c6623b6cb933
3002542116,,Surface Casing,36,1332,,1549,0,9.625,85f88048-142e-4b8d-9a94-c6623b6cb933
3002542116,,Hole 2,0,0,8/24/2017 12:00:00 AM,5187,1549,8.75,85f88048-142e-4b8d-9a94-c6623b6cb933
3001542732,,Intermediate 1 Casing,40,641,,2000,0,9.625,22977fc2-ac43-4926-9afd-c8448b5b40c7
3001542732,,Hole 3,0,0,,9201,2000,8.75,22977fc2-ac43-4926-9afd-c8448b5b40c7
3001542732,,Liner 1,13.5,571,,13970,0,4.5,22977fc2-ac43-4926-9afd-c8448b5b40c7
3001542732,,Production Casing,29,889,,9201,0,7,22977fc2-ac43-4926-9afd-c8448b5b40c7
3001542732,,Hole 2,0,0,,2000,580,12.25,22977fc2-ac43-4926-9afd-c8448b5b40c7
3001542732,,Surface Casing,54.5,670,,580,0,13.375,22977fc2-ac43-4926-9afd-c8448b5b40c7
3001542732,,Hole 4,0,0,,13970,9201,6.125,22977fc2-ac43-4926-9afd-c8448b5b40c7
3001542732,,Hole 1,0,0,,580,0,17.5,22977fc2-ac43-4926-9afd-c8448b5b40c7
3001542733,,Intermediate 2 Casing,29,690,,9133,0,7,11cf397e-98f8-413e-a017-cd3d8e1f1634
3001542733,,Surface Casing,54.5,500,,445,0,13.375,11cf397e-98f8-413e-a017-cd3d8e1f1634
3001542733,,Production Casing,13.5,2405,,14080,0,4.5,11cf397e-98f8-413e-a017-cd3d8e1f1634
3001542733,,Hole 1,0,0,,445,0,17.5,11cf397e-98f8-413e-a017-cd3d8e1f1634
3001542733,,Hole 4,0,0,,14080,9133,6.125,11cf397e-98f8-413e-a017-cd3d8e1f1634
3001542733,,Hole 2,0,0,,1974,445,12.25,11cf397e-98f8-413e-a017-cd3d8e1f1634
3001542733,,Intermediate 1 Casing,40,500,,1974,0,9.625,11cf397e-98f8-413e-a017-cd3d8e1f1634
3001542733,,Hole 3,0,0,,9133,1963,8.75,11cf397e-98f8-413e-a017-cd3d8e1f1634
3001542733,,Liner 1,0,552,,13777,8427,4.5,11cf397e-98f8-413e-a017-cd3d8e1f1634
3002542701,,Surface Casing,54.5,1780,,1833,0,13.375,becb693d-9003-4e3f-9118-dc7fdf174b33
3002542701,,Hole 1,0,0,6/24/2017 12:00:00 AM,1833,0,17.5,becb693d-9003-4e3f-9118-dc7fdf174b33
3002542701,,Hole 2,0,0,,4936,1833,12.25,becb693d-9003-4e3f-9118-dc7fdf174b33
3002542701,,Intermediate 1 Casing,40,1600,,4936,0,9.625,becb693d-9003-4e3f-9118-dc7fdf174b33
3002542701,,Production Casing,20,2165,,14760,0,5.5,becb693d-9003-4e3f-9118-dc7fdf174b33
3002542701,,Hole 3,0,0,,14760,4936,8.5,becb693d-9003-4e3f-9118-dc7fdf174b33
3002542701,,Packer,0,0,,9850,0,2.875,becb693d-9003-4e3f-9118-dc7fdf174b33
3002542701,,Tubing 1,0,0,,9860,0,2.875,becb693d-9003-4e3f-9118-dc7fdf174b33
33053074150000,,,,,,,11402,,3cb68e00-f788-4bba-8597-079908526251
33053074150000,625,,,,,,2120,,3cb68e00-f788-4bba-8597-079908526251
33053074120000,,,,,,,11545,,84554e7f-ba8d-45c9-be3b-4719846a0fb4
33053074120000,625,,,,,,2125,,84554e7f-ba8d-45c9-be3b-4719846a0fb4
33053074160000,625,,,,,,2118,,361ddfc6-472d-44b2-90d5-8f58a2056d8e
33053074160000,,,,,,,11468,,361ddfc6-472d-44b2-90d5-8f58a2056d8e
33053074130000,625,,,,,,2128,,69736304-67ba-4cdf-9b93-ff70205ad962
33053074130000,,,,,,,11409,,69736304-67ba-4cdf-9b93-ff70205ad962
3001543555,,Hole 3,0,0,,16790,7500,8.5,27c90a6b-cc67-4371-8879-21447f96a900
3001543555,,Production Casing,20,2265,,16790,0,5.5,27c90a6b-cc67-4371-8879-21447f96a900
3001543555,,Hole 1,0,0,,755,0,17.5,27c90a6b-cc67-4371-8879-21447f96a900
3001543555,,Tubing 1,0,0,,9200,0,2.875,27c90a6b-cc67-4371-8879-21447f96a900
3001543555,,Intermediate 1 Casing,47,2605,,7500,0,9.625,27c90a6b-cc67-4371-8879-21447f96a900
3001543555,,Surface Casing,54.5,690,,755,0,13.375,27c90a6b-cc67-4371-8879-21447f96a900
3001543555,,Packer,0,0,,9200,0,5.5,27c90a6b-cc67-4371-8879-21447f96a900
