WellId,API,CompletionDate,Formation,UpperPerf,UpperPerfTVD,LowerPerf,LowerPerfTVD,IPOil,IPGas,IPWater
f731eded-2893-4b23-a096-87ee54482ca5,4232936518,10/30/2010 12:00:00 AM,,7949,0,10372,0,85.9,125,224
fe85981b-2adf-4912-ae4d-8fe9dc8c537d,4232936515,5/19/2010 12:00:00 AM,TREND AREA,7888,0,10510,0,,,
fe85981b-2adf-4912-ae4d-8fe9dc8c537d,4232936515,5/19/2010 12:00:00 AM,,7888,0,10510,0,68,127,156
fe85981b-2adf-4912-ae4d-8fe9dc8c537d,4232936515,6/24/2016 12:00:00 AM,TREND AREA,0,0,0,0,,,
f9d5502e-470e-4730-90c9-a3a3d0d4d0d6,4232936534,9/3/2010 12:00:00 AM,TREND AREA,8202,0,10602,0,,,
d176c2e2-b94d-4df4-a505-b172312e57ed,4232936520,10/22/2010 12:00:00 AM,TREND AREA,8030,0,10376,0,104,96,219
d176c2e2-b94d-4df4-a505-b172312e57ed,4232936520,10/22/2010 12:00:00 AM,,8030,0,10376,0,,,
a939d1b4-a648-4ecd-bba6-fdff9e80fd78,4232936517,11/9/2010 12:00:00 AM,TREND AREA,7924,0,10318,0,,,
a939d1b4-a648-4ecd-bba6-fdff9e80fd78,4232936517,11/9/2010 12:00:00 AM,,7924,0,10318,0,55,110,166
4a9ec771-2287-4abb-b9eb-2a4e1bfff3b6,4232936535,8/30/2010 12:00:00 AM,TREND AREA,8202,0,10626,0,,,
4cc28306-f9d3-4ef3-8830-34ef909c02ee,4232936523,6/29/2010 12:00:00 AM,TREND AREA,8297,0,10490,0,80,87,151
42750da3-a699-44b3-8b36-3843de2c7501,4232936526,12/1/2010 12:00:00 AM,TREND AREA,8134,0,10692,0,34,42,260
2b7dcf72-4ce7-491e-96a9-6de9f8e5ba9e,4232936527,3/13/2011 12:00:00 AM,TREND AREA,8570,0,10474,0,32,30,212
1fffe9ae-f525-405f-8f86-721230c213f9,4232936279,7/21/2009 12:00:00 AM,TREND AREA,8240,0,10750,0,,,
6275d9d5-489c-4d88-8710-859b730c6d5a,4232936528,11/13/2010 12:00:00 AM,TREND AREA,8142,0,10700,0,36,15,90
35275ae7-eb7f-4eca-a07a-9d7f93e0bccb,4232936525,8/10/2010 12:00:00 AM,TREND AREA,8159,0,11048,0,68,72,225
