API,CasingSize,CasingType,CasingWeight,CementSacks,CompletionDate,LowerSetDepth,UpperSetDepth,WellboreSize,WellId
4237106531,7,Casing,23,100,9/26/1993 12:00:00 AM,959,,,c82b7384-4bfc-4e33-b941-968611a9ff67
4237106531,7,Casing,24,100,,1084,,8.625,c82b7384-4bfc-4e33-b941-968611a9ff67
4237106531,8.625,Casing,28,25,9/26/1993 12:00:00 AM,875,,,c82b7384-4bfc-4e33-b941-968611a9ff67
4237106531,5.5,Casing,15.5,150,5/19/1987 12:00:00 AM,1275,,8.5,c82b7384-4bfc-4e33-b941-968611a9ff67
4237106531,10,Casing,48,0,11/3/2010 12:00:00 AM,270,,12.5,c82b7384-4bfc-4e33-b941-968611a9ff67
4237106531,5.5,Casing,15.5,150,11/3/2010 12:00:00 AM,1265,,8.625,c82b7384-4bfc-4e33-b941-968611a9ff67
4237106531,7,Casing,23,100,11/3/2010 12:00:00 AM,989,,8.25,c82b7384-4bfc-4e33-b941-968611a9ff67
4237106531,4.5,Casing,11.6,100,,1267,,5.5,c82b7384-4bfc-4e33-b941-968611a9ff67
4237106531,5.5,Casing,17,110,,1090,,7,c82b7384-4bfc-4e33-b941-968611a9ff67
4237106531,10,Casing,40,0,5/19/1987 12:00:00 AM,270,,,c82b7384-4bfc-4e33-b941-968611a9ff67
4237106531,8.625,Casing,28,25,11/3/2010 12:00:00 AM,875,,10,c82b7384-4bfc-4e33-b941-968611a9ff67
4237138655,5.5,Casing,15.5,130,7/17/2010 12:00:00 AM,485,,7.875,c3717152-a614-438a-a02c-9b0dded155e3
4237132657,8.625,Casing,24,460,6/4/2010 12:00:00 AM,1080,,11,0a8fff76-49b9-4a16-85f1-6fb635cb556b
4237132657,2.875,Casing,0,0,1/4/1979 12:00:00 AM,1245,,,0a8fff76-49b9-4a16-85f1-6fb635cb556b
4237132657,7,Casing,26,215,6/4/2010 12:00:00 AM,1365,,8.75,0a8fff76-49b9-4a16-85f1-6fb635cb556b
4237132657,13.375,Casing,48,800,6/4/2010 12:00:00 AM,555,,17.5,0a8fff76-49b9-4a16-85f1-6fb635cb556b
4237133783,7,Casing,26,300,7/7/2010 12:00:00 AM,1378,,8.75,65df405b-a0f1-4be8-8d01-7e8d6ff0bc2e
4237133783,8.625,Casing,24,325,7/7/2010 12:00:00 AM,968,,11,65df405b-a0f1-4be8-8d01-7e8d6ff0bc2e
4237133783,13.375,Casing,48,775,7/7/2010 12:00:00 AM,618,,17.5,65df405b-a0f1-4be8-8d01-7e8d6ff0bc2e
4237133783,2.375,Casing,0,0,5/16/1983 12:00:00 AM,1335,,,65df405b-a0f1-4be8-8d01-7e8d6ff0bc2e
4237134567,13.375,Casing,48,425,4/13/2010 12:00:00 AM,418,,17.5,422876db-ff57-4fcc-a662-98092db0c347
4237134567,8.625,Casing,24,830,4/13/2010 12:00:00 AM,3014,,11.25,422876db-ff57-4fcc-a662-98092db0c347
4237138737,8.625,Casing,24,950,10/28/2010 12:00:00 AM,1745,,11,4457f842-e413-4734-9e0e-a76652b1e549
4237138737,5.5,Casing,17,520,10/28/2010 12:00:00 AM,3350,,7.875,4457f842-e413-4734-9e0e-a76652b1e549
4237110503,7,Casing,20,1815,11/7/2010 12:00:00 AM,9600,860,8.875,95da8f7c-2f01-43dc-9e30-a720aa57ab24
4237110503,13.375,Casing,68,1179,11/7/2010 12:00:00 AM,1786,,17.5,95da8f7c-2f01-43dc-9e30-a720aa57ab24
4237138742,,Casing,,,,0,,,c2600b3b-129f-4272-9963-560b0453a063
4237138742,9.625,Casing,36,880,12/5/2010 12:00:00 AM,1406,,12.25,c2600b3b-129f-4272-9963-560b0453a063
4237138742,4.5,Casing,11.6,820,12/5/2010 12:00:00 AM,5768,2004,8.75,c2600b3b-129f-4272-9963-560b0453a063
4237138745,4.5,Casing,,950,,5880,2075,8.75,c3a055f4-2194-46c8-b99c-93fef3c47ee7
4237138745,9.625,Casing,,880,,1380,,12.25,c3a055f4-2194-46c8-b99c-93fef3c47ee7
4237138754,8.75,Casing,20,1870,12/15/2010 12:00:00 AM,9830,6000,5.5,01d4d32f-1df9-4cce-ba4c-7950e571f6e4
4237138754,12.5,Casing,36,1285,12/15/2010 12:00:00 AM,4600,2785,9.625,01d4d32f-1df9-4cce-ba4c-7950e571f6e4
4237138754,17.5,Casing,48,420,12/15/2010 12:00:00 AM,487,,13.375,01d4d32f-1df9-4cce-ba4c-7950e571f6e4
4237138754,9.625,Casing,36,1235,12/15/2010 12:00:00 AM,4600,2785,12.5,01d4d32f-1df9-4cce-ba4c-7950e571f6e4
4237138755,5.5,Casing,20,2850,,4540,91,8.75,4752a778-4c63-4ce7-8bc1-6bf1cfdc90b8
4237138755,5.5,Casing,20,2225,,10400,2040,7.875,4752a778-4c63-4ce7-8bc1-6bf1cfdc90b8
4237138755,13.375,Casing,48,420,,481,0,17.5,4752a778-4c63-4ce7-8bc1-6bf1cfdc90b8
4237138630,4.5,Casing,11.6,250,2/20/2010 12:00:00 AM,889,,7.875,b0ae5c94-b223-4d04-9c0b-3293dc799166
4237138630,8.625,Casing,0,0,2/20/2010 12:00:00 AM,16,,9.875,b0ae5c94-b223-4d04-9c0b-3293dc799166
4237138455,8.625,Casing,32,525,,0,,11,c16e55d7-7f69-4950-b85c-ad36f0feb5e0
4237138455,8.625,Casing,32,350,,3256,2200,11,c16e55d7-7f69-4950-b85c-ad36f0feb5e0
4237138455,8.625,Casing,32,875,6/9/2010 12:00:00 AM,3256,,11,c16e55d7-7f69-4950-b85c-ad36f0feb5e0
4237138455,13.375,Casing,48,455,6/9/2010 12:00:00 AM,340,,17.5,c16e55d7-7f69-4950-b85c-ad36f0feb5e0
4237138455,5.5,Casing,17,600,6/9/2010 12:00:00 AM,6920,2200,7.875,c16e55d7-7f69-4950-b85c-ad36f0feb5e0
4237130556,13.375,Casing,61,1800,8/1/2010 12:00:00 AM,3193,,15,9f712511-a6c8-40b7-bf0b-a566334b25e0
4237130556,10.75,Casing,55,2400,8/1/2010 12:00:00 AM,10364,,12.25,9f712511-a6c8-40b7-bf0b-a566334b25e0
4237130556,16,Casing,65,700,8/1/2010 12:00:00 AM,1006,,20,9f712511-a6c8-40b7-bf0b-a566334b25e0
4237130556,,Casing,0,0,,0,,,9f712511-a6c8-40b7-bf0b-a566334b25e0
4237135436,7,Casing,23,360,12/14/2010 12:00:00 AM,1711,,8.75,579e28ec-4bc2-492a-9295-bb3c6918ba88
4237135436,7,Casing,23,360,7/26/1999 12:00:00 AM,1771,,8.75,579e28ec-4bc2-492a-9295-bb3c6918ba88
4237135436,9.625,Casing,32.3,600,11/7/1985 12:00:00 AM,1411,,12.25,579e28ec-4bc2-492a-9295-bb3c6918ba88
4237135436,9.625,Casing,32.3,600,12/14/2010 12:00:00 AM,1411,,12,579e28ec-4bc2-492a-9295-bb3c6918ba88
4237135436,13.375,Casing,48,1000,12/14/2010 12:00:00 AM,960,,17.5,579e28ec-4bc2-492a-9295-bb3c6918ba88
4237107095,10.75,Casing,35,90,1/11/2011 12:00:00 AM,511,0,,d2abf56c-8714-4f8e-94bc-08941da4f4fb
4237107095,5.5,Casing,15.5,75,1/11/2011 12:00:00 AM,1162,,6.25,d2abf56c-8714-4f8e-94bc-08941da4f4fb
4237107095,8,Casing,29.3,150,1/11/2011 12:00:00 AM,1050,0,10.75,d2abf56c-8714-4f8e-94bc-08941da4f4fb
4237107095,13.375,Casing,50,0,1/11/2011 12:00:00 AM,215,0,,d2abf56c-8714-4f8e-94bc-08941da4f4fb
4237107095,,Casing,0,0,,0,,,d2abf56c-8714-4f8e-94bc-08941da4f4fb
4237107095,13.375,Casing,50,0,7/19/1997 12:00:00 AM,215,0,0,d2abf56c-8714-4f8e-94bc-08941da4f4fb
4237107095,7,Casing,23,125,1/11/2011 12:00:00 AM,1068,,8,d2abf56c-8714-4f8e-94bc-08941da4f4fb
4237107095,10.75,Casing,35,90,9/16/1995 12:00:00 AM,511,0,0,d2abf56c-8714-4f8e-94bc-08941da4f4fb
4237138769,5.5,Casing,15.5,200,11/23/2010 12:00:00 AM,454,,7.875,f9a5b48b-95bb-4a4b-93d0-900208cfda47
4237135269,13.375,Casing,48,1000,12/2/2010 12:00:00 AM,777,,17.5,5b96f1bf-1880-44da-a5e0-cdecae32e8ed
4237135269,8.625,Casing,24,650,12/2/2010 12:00:00 AM,1462,,11,5b96f1bf-1880-44da-a5e0-cdecae32e8ed
