WellId,API,Name,ShortName,TopDepth,BaseDepth,MethodObtained,IsProducing,IsTarget
9aabc0e6-4553-42f9-9ade-23150f87687d,4237133420,BASE (CRETACEOUS),,592,,,False,False
a4182f29-ab54-4fe7-8f4c-95d892885a25,4237139381,MISSISSIPPIAN,,,,,False,False
04af0f34-e22a-49a3-822a-6560ef4ca333,4237135244,SAN ANDRES,,1346,,,False,False
c7ac6807-acf2-4f34-9da2-80072507f225,4237139164,FUSSELMAN,,7916,,,False,False
e4f9ffe4-7490-4b0f-bb3f-b72d4660044f,4237139339,O'BRIEN,,,,,False,False
e17449d2-4f77-4207-81db-cfa802ce3adf,4237139329,DEVONIAN,,,,,False,False
af6858c7-9361-4015-a530-e48ff890c2ba,4237135782,BASE CRETACEOUS,,814,,,False,False
80cc0e70-c967-4276-ab85-52e7dc4cd6fb,4237139533,QUEEN,,1100,,,False,False
b84c60aa-0e36-4d5c-9142-97dacf326a78,4237139144,STRAWN,,8300,,,False,False
06486986-5077-4100-84e2-ccb188160d16,4237139662,TOBORG,,,,,False,False
0ceda0dd-5c9e-4b17-9e3d-14a6b8d3a394,4237139292,SAN ANDRES - USABLE QUALITY WATER ZONE; LOW VOLUME,,3715,,,False,False
1ee9133f-f64f-4625-bb1f-8828066cf644,4237134395,YATES (SMITH SAND),,936,,,False,False
1ad9c6d8-6434-43bd-840b-e67f52a50179,4237139231,STRAWN,,,,,False,False
b84419ee-71a6-4342-8f48-888d0060d2fe,4237139333,WADDELL,,,,,False,False
fe9a4f3a-07cf-42f7-833d-d144378450ba,4237139439,ATOKA,,,,,False,False
3a39d9ab-1202-488b-b7a9-525a411d1f2f,4237135699,SEVEN RIVERS,,714,,,False,False
fecbc732-a958-4ba3-89ed-b0d2f5472acf,4237139374,SEVEN RIVERS,,,,,False,False
a5345ef8-9cca-44fa-9d29-6c782313b15b,4237139322,QUEEN,,,,,False,False
167b05f7-3759-4b72-bd21-80b2734ffc60,4237139605,MISSISSIPPIAN,,,,,False,False
d5dde7d9-1e43-40e6-9f58-d199764bfd87,4237139499,MULTIPAY - UNIDENTIFIED,,,,,False,False
3015332a-762a-4fde-bdce-3588712d531a,4237139366,CANYON,,,,,False,False
9d4a09d5-2425-4b51-912d-284b1abca5be,4237139299,RUSTLER,,2060,,,False,False
b297e4a3-1777-4b43-b031-1cd9b65e2317,4237134177,YATES (SMITH SAND),,945,,,False,False
fe797ca7-b5cd-44cf-9802-c3e1480f809a,4237138660,TESNUS LIME 2,,,,,False,False
345b6913-e29d-4cf4-8f4e-f804db4ba00c,4237139259,STRAWN,,,,,False,False
ad838757-f969-4d93-8477-6e9072fe40c0,4237136073,BASE CRETACEOUS,,544,,,False,False
dabfbd93-eec9-412d-879d-04e886ca554a,4237139411,DEVONIAN,,,,,False,False
