API,WellId,CompletionDate,PackerDepth,TubingLowerDepth,TubingSize,TubingUpperDepth
4237138833,2d79045b-4654-4dbe-9da2-cc53e216d2a8,11/3/2011 12:00:00 AM,0,,2 7/8,2041
4237134202,2742d08d-a9c2-4a52-90ab-cc5716994d1f,,0,,2 3/8,1760
4237134202,2742d08d-a9c2-4a52-90ab-cc5716994d1f,1/17/2017 12:00:00 AM,0,,2 3/8,1808
4237134202,2742d08d-a9c2-4a52-90ab-cc5716994d1f,8/23/1996 12:00:00 AM,0,,2 3/8,1653
4237102478,966f1924-c852-4d80-a4a4-cc5e9d5b9c96,1/6/1994 12:00:00 AM,0,,2 3/8,1490
4237102478,966f1924-c852-4d80-a4a4-cc5e9d5b9c96,5/12/2010 12:00:00 AM,0,,2 3/8,1710
4237102478,966f1924-c852-4d80-a4a4-cc5e9d5b9c96,7/4/1997 12:00:00 AM,0,,2 3/8,1537
4237134739,5a62a69a-af8c-4615-b507-4f39c2ef285c,6/14/1984 12:00:00 AM,1384,,2 3/8,1455
4237134739,5a62a69a-af8c-4615-b507-4f39c2ef285c,,0,,2 3/8,1659
4237132320,3b73499e-501e-4f6d-be37-4f4bc7bade89,3/4/1998 12:00:00 AM,0,,2 3/8,1419
4237132320,3b73499e-501e-4f6d-be37-4f4bc7bade89,7/25/1996 12:00:00 AM,0,,2 3/8,1419
4237132320,3b73499e-501e-4f6d-be37-4f4bc7bade89,,0,,2 3/8,1805
4237132320,3b73499e-501e-4f6d-be37-4f4bc7bade89,9/28/1994 12:00:00 AM,1278,,2 3/8,1395
4237132320,3b73499e-501e-4f6d-be37-4f4bc7bade89,9/13/2011 12:00:00 AM,0,,2 3/8,1631
4237138670,07c34477-54f6-4c57-a9e0-4fa60e5ace74,10/26/2010 12:00:00 AM,0,,2 7/8,2803
4237137495,8f549840-26f3-41ef-aa13-ccdd90d3cbfd,4/1/2010 12:00:00 AM,1817,,2 3/8,1817
4237138665,31b2eec5-4b8d-4964-ab16-ccf22b8ee704,10/27/2010 12:00:00 AM,0,,2 7/8,2365
4237139074,95fb78a4-32ac-4f67-84ec-f9522f56706c,10/13/2013 12:00:00 AM,0,,2 7/8,6800
4237133614,ea2b6762-ad99-4d96-81f8-4fecffdcaa37,10/25/2014 12:00:00 AM,0,,2 3/8,1661
4237133614,ea2b6762-ad99-4d96-81f8-4fecffdcaa37,12/17/1993 12:00:00 AM,1353,,2 3/8,1497
4237138854,d43f9470-74dc-4f0b-adf6-cd391c3889ee,9/28/2011 12:00:00 AM,0,,2 3/8,531
4237138854,d43f9470-74dc-4f0b-adf6-cd391c3889ee,9/28/2011 12:00:00 AM,0,,2 3/8,472
4237135923,2ee1dae0-bac9-42b8-938d-f9e88301b034,5/6/1987 12:00:00 AM,0,,3 1/2,1354
4237135923,2ee1dae0-bac9-42b8-938d-f9e88301b034,7/31/1992 12:00:00 AM,0,,3 1/2,1331
4237135923,2ee1dae0-bac9-42b8-938d-f9e88301b034,5/6/1987 12:00:00 AM,0,,3 1/2,1354
4237135923,2ee1dae0-bac9-42b8-938d-f9e88301b034,10/21/2011 12:00:00 AM,0,,3 1/2,1239
4237138924,598b6eba-30f2-4967-990c-509675ac1ef6,5/20/2012 12:00:00 AM,0,,2 3/8,485
4237138924,598b6eba-30f2-4967-990c-509675ac1ef6,8/30/2012 12:00:00 AM,0,,2 3/8,391
4237138686,b73d2ab1-ee07-41d7-8d6e-50d3a57199b8,7/27/2010 12:00:00 AM,0,,2 7/8,1394
4237106973,cc6c9576-2075-4da1-b604-fa1a4926da21,8/28/2015 12:00:00 AM,0,,2 3/8,1901
4237106973,cc6c9576-2075-4da1-b604-fa1a4926da21,3/13/2013 12:00:00 AM,0,,2 3/8,1891
4237106973,cc6c9576-2075-4da1-b604-fa1a4926da21,,0,,2 3/8,1656
4237106973,cc6c9576-2075-4da1-b604-fa1a4926da21,1/15/1998 12:00:00 AM,0,,2 3/8,1830
4237106405,3179ab80-38c9-4d56-9d0f-cdde2489c1f5,,0,,2 3/8,1330
4237106405,3179ab80-38c9-4d56-9d0f-cdde2489c1f5,9/20/2016 12:00:00 AM,0,,2 3/8,1482
4237139135,c4987317-19eb-4f36-9159-50fb3b4fbfac,7/16/2014 12:00:00 AM,10033,,2 7/8,10033
4237135269,5b96f1bf-1880-44da-a5e0-cdecae32e8ed,12/2/2010 12:00:00 AM,0,,3 1/2,1437
4237135269,5b96f1bf-1880-44da-a5e0-cdecae32e8ed,3/7/2016 12:00:00 AM,0,,3 1/2,1281
4237135269,5b96f1bf-1880-44da-a5e0-cdecae32e8ed,11/15/1985 12:00:00 AM,0,,2 7/8,1412
4237137207,3fd91eb1-6021-4924-a11c-cdefb8d6c2a0,,0,,2 3/8,1850
4237137207,3fd91eb1-6021-4924-a11c-cdefb8d6c2a0,10/12/2010 12:00:00 AM,0,,2 3/8,2262
4237106129,d4e70b4a-4ddc-456c-a6b2-ce01e49a0316,4/26/2011 12:00:00 AM,0,,2 3/8,1753
4237106129,d4e70b4a-4ddc-456c-a6b2-ce01e49a0316,11/7/1995 12:00:00 AM,0,,2 3/8,1504
4237106129,d4e70b4a-4ddc-456c-a6b2-ce01e49a0316,5/23/1997 12:00:00 AM,0,,2 3/8,1554
4237106129,d4e70b4a-4ddc-456c-a6b2-ce01e49a0316,,0,,2 3/8,1629
4237133577,b3c3e9c1-14fb-4b6d-ba5b-512db5272bb2,5/20/2010 12:00:00 AM,0,,2 3/8,1774
4237133577,b3c3e9c1-14fb-4b6d-ba5b-512db5272bb2,12/21/1993 12:00:00 AM,1333,,2 3/8,1426
4237134648,c98595fa-6383-46d7-9da6-fa5881b71b73,4/19/2011 12:00:00 AM,0,,2 3/8,1683
4237133577,b3c3e9c1-14fb-4b6d-ba5b-512db5272bb2,9/23/1997 12:00:00 AM,0,,2 7/8,1478
4237134648,c98595fa-6383-46d7-9da6-fa5881b71b73,7/3/1996 12:00:00 AM,0,,2 3/8,1520
4237134648,c98595fa-6383-46d7-9da6-fa5881b71b73,3/7/1997 12:00:00 AM,0,,2 3/8,1552
4237134648,c98595fa-6383-46d7-9da6-fa5881b71b73,3/13/1984 12:00:00 AM,1400,,2 3/8,1466
4237134648,c98595fa-6383-46d7-9da6-fa5881b71b73,,0,,2 3/8,1708
4237134539,20daae29-3efb-4fb0-8d27-ce4d298764ef,6/29/1984 12:00:00 AM,0,,2 3/8,2258
4237134539,20daae29-3efb-4fb0-8d27-ce4d298764ef,2/13/2014 12:00:00 AM,2248,,2 7/8,2247
4237130011,7cee638f-90f6-4131-abcf-ce5d19d8fc51,8/1/2012 12:00:00 AM,2724,,2 3/8,2724
4237130011,7cee638f-90f6-4131-abcf-ce5d19d8fc51,3/28/1990 12:00:00 AM,3803,,2 3/8,3803
4237134785,9b4b2551-d124-45c0-8dac-ce5dd916ca02,9/21/1984 12:00:00 AM,0,,2 7/8,1484
4237134785,9b4b2551-d124-45c0-8dac-ce5dd916ca02,9/21/1984 12:00:00 AM,0,,2 7/8,1487
4237134785,9b4b2551-d124-45c0-8dac-ce5dd916ca02,,0,,2 3/8,1795
4237133639,be90075d-ad6b-4822-bda3-515b144c032c,,0,,2 3/8,1546
4237133639,be90075d-ad6b-4822-bda3-515b144c032c,11/22/1994 12:00:00 AM,0,,2 3/8,1364
4237132649,c6149a51-23da-4d40-886e-5173574ac1f8,1/25/1997 12:00:00 AM,4415,,2 3/8,4446
4237139001,a6ec78de-dd10-431f-bb85-ce7c0165bcc9,3/29/2013 12:00:00 AM,0,,2 3/8,929
4237132649,c6149a51-23da-4d40-886e-5173574ac1f8,7/1/2016 12:00:00 AM,0,,2 7/8,3070
4237131404,d239abac-4069-424b-8d27-ced466775119,7/16/2012 12:00:00 AM,2919,,2 3/8,2698
4237102465,8af5fe34-3bb2-4f75-a9b7-51aebae1be25,,0,,2 3/8,1984
4237102465,8af5fe34-3bb2-4f75-a9b7-51aebae1be25,4/25/1996 12:00:00 AM,0,,2 3/8,1906
4237138728,e0de76f2-0eb2-4907-8662-fb09474cdd31,11/23/2010 12:00:00 AM,4038,,2 3/8,4041
4237139213,396a68c3-deb9-479b-aed3-fb67f4de8c87,11/10/2014 12:00:00 AM,10055,,2 7/8,10050
4237134353,52eeb8e1-e5b8-4c0f-864d-5232116ca3f9,6/22/1997 12:00:00 AM,0,,2 3/8,1544
4237133450,3d4e365a-24d6-4705-ad48-cef6f969b3c1,4/24/2013 12:00:00 AM,0,,2 3/8,1728
4237134353,52eeb8e1-e5b8-4c0f-864d-5232116ca3f9,10/10/2014 12:00:00 AM,0,,2 3/8,1649
4237133450,3d4e365a-24d6-4705-ad48-cef6f969b3c1,,0,,2 3/8,1827
4237133450,3d4e365a-24d6-4705-ad48-cef6f969b3c1,11/26/1993 12:00:00 AM,1449,,2 3/8,1661
4237138949,6ceb2625-f4f1-491f-b532-fb87eac2e9ba,9/10/2012 12:00:00 AM,0,,2 3/8,472
4237138778,06ce4b50-cd01-4abc-9ee8-cf1b6464ffa6,12/27/2010 12:00:00 AM,0,,2 3/8,464
4237135699,3a39d9ab-1202-488b-b7a9-525a411d1f2f,2/18/1986 12:00:00 AM,1145,,2 3/8,1245
4237135699,3a39d9ab-1202-488b-b7a9-525a411d1f2f,,0,,2 3/8,1404
4237135699,3a39d9ab-1202-488b-b7a9-525a411d1f2f,2/18/1986 12:00:00 AM,1145,,2 3/8,1245
4237138871,48edaac9-eed8-44cd-bc25-5262c0a2388b,8/1/2012 12:00:00 AM,0,,2 7/8,8661
4237136117,a764cb3d-917b-4066-960c-cf8b774e2f28,12/19/2011 12:00:00 AM,0,,3 1/2,1227
4237136117,a764cb3d-917b-4066-960c-cf8b774e2f28,10/14/1988 12:00:00 AM,0,,2 7/8,1352
4237134839,6c7cb1b2-497a-4c15-86d1-fbeca77e9f9b,7/14/1984 12:00:00 AM,0,,2 7/8,1699
4237138817,d362b169-efd8-4fb0-89e0-52ac01057cdf,2/21/2012 12:00:00 AM,0,,2 3/8,594
4237134839,6c7cb1b2-497a-4c15-86d1-fbeca77e9f9b,7/24/2012 12:00:00 AM,0,,3 1/2,1514
4237138641,1ec020ad-53ef-41b0-aab7-52c5c449142b,4/17/2010 12:00:00 AM,0,,2 3/8,4159
4237107079,6eae2c8b-51fe-40e9-8c6a-fc23d2ebe3a9,,0,,2 3/8,1378
4237107079,6eae2c8b-51fe-40e9-8c6a-fc23d2ebe3a9,,0,,2 3/8,1539
4237107079,6eae2c8b-51fe-40e9-8c6a-fc23d2ebe3a9,8/8/2013 12:00:00 AM,0,,2 3/8,1491
4237133651,6d512bf8-824f-43bc-b141-fc4fd1b78bc6,,0,,2 3/8,1439
4237138705,e0c18c0a-a2a8-4066-92a0-52f18a92d09a,9/17/2010 12:00:00 AM,0,,2 3/8,5181
4237139049,8fdd724f-9449-4f06-9681-d02bb36f08a7,4/5/2014 12:00:00 AM,0,,2 3/8,2962
4237133885,d271a9e6-52de-44b2-9901-d097e3a64ebf,6/12/1998 12:00:00 AM,0,,2 3/8,1193
4237133885,d271a9e6-52de-44b2-9901-d097e3a64ebf,4/3/2015 12:00:00 AM,0,,2 3/8,1457
4237138910,20ca6ea8-84c0-4ae1-bb17-fcb942a4c221,7/5/2012 12:00:00 AM,6812,,2 7/8,6903
4237138882,c8c5559e-db15-4fc8-b434-d0c58d7641c1,9/8/2012 12:00:00 AM,0,,2 3/8,1871
4237138637,4d4a378c-d372-4960-91c7-fcdd89c3dac7,6/1/2010 12:00:00 AM,0,,2 3/8,6973
4237134770,bb6bdeb3-e237-44b3-894f-fd313879b905,12/7/2012 12:00:00 AM,0,,3 1/2,1323
4237134770,bb6bdeb3-e237-44b3-894f-fd313879b905,8/31/1984 12:00:00 AM,0,,3 1/2,1440
4237137120,97a1dedd-d287-4ac8-be44-fd9ff91ebc5c,,4920,,2 3/8,4930
4237137120,97a1dedd-d287-4ac8-be44-fd9ff91ebc5c,5/3/2016 12:00:00 AM,1670,,2 3/8,1670
4237106983,594e2f4b-dfcb-4073-be14-d135085cc16d,10/18/2010 12:00:00 AM,3536,,3 1/2,3536
4237137770,c96c7e22-d8a6-4eac-9789-d141cd59ce4c,6/11/2013 12:00:00 AM,11465,,2 7/8,11604
4237139183,0989127e-a0b4-4602-bb20-727c22e37c49,8/16/2014 12:00:00 AM,0,,2 3/8,2668
4237139164,c7ac6807-acf2-4f34-9da2-80072507f225,8/22/2015 12:00:00 AM,6827,,2 7/8,6770
4237139295,bf5cb77e-a3cd-4df5-b20f-8f1b2078085e,2/9/2015 12:00:00 AM,0,,2 3/8,3395
4237139294,3e4dff28-74e5-4b0d-9021-958ff0e4f656,2/11/2015 12:00:00 AM,8505,,2 7/8,8500
4237104259,798cdcb1-a6d2-4dc7-9d1e-aec42f7ea59e,12/19/2009 12:00:00 AM,0,,2 3/8,0
4237104256,528be3f3-0948-4ee6-8061-b2a8deff5192,5/13/2010 12:00:00 AM,0,,2 7/8,0
4237104256,528be3f3-0948-4ee6-8061-b2a8deff5192,7/2/2014 12:00:00 AM,1216,,2 3/8,1216
4237139296,0bdc37d0-4260-4348-b6fd-b782281f4a62,2/9/2015 12:00:00 AM,0,,2 3/8,3410
4237104694,4cab27af-4407-401c-807f-c26f87f6d466,2/20/2010 12:00:00 AM,1237,,2 3/8,1350
4237104260,ea31ff50-515e-46ce-ba12-c4db96c5ef2a,8/15/2012 12:00:00 AM,992,,2 3/8,992
4237104260,ea31ff50-515e-46ce-ba12-c4db96c5ef2a,11/2/1984 12:00:00 AM,0,,2 3/8,0
4237139093,0e1378d4-80ef-4eae-8c59-ababbb66a70a,11/5/2016 12:00:00 AM,9697,,2 7/8,9711
4237138802,be5f1886-d2d7-4c9a-9310-bce473e97d33,7/6/2011 12:00:00 AM,6975,,2 7/8,6967
4237138802,be5f1886-d2d7-4c9a-9310-bce473e97d33,4/12/2013 12:00:00 AM,0,,2 7/8,7197
4237138802,be5f1886-d2d7-4c9a-9310-bce473e97d33,11/8/2011 12:00:00 AM,7048,,2 7/8,7048
4237138738,c85142f6-8315-4669-b60d-bcff9b6822c4,7/15/2011 12:00:00 AM,3350,,2 7/8,3350
4237138738,c85142f6-8315-4669-b60d-bcff9b6822c4,7/15/2011 12:00:00 AM,0,,2 3/8,3761
4237138981,a869cb8f-dcce-4e5a-b2cd-bd18424a6cf1,2/5/2013 12:00:00 AM,0,,2 7/8,10809
4237103541,27060aa5-7aba-4509-933d-bd1b4c9031b1,2/26/2011 12:00:00 AM,0,,2 3/8,3700
4237139119,7ab44e39-b35e-4362-99d9-bd4e856d235d,2/21/2014 12:00:00 AM,0,,2 7/8,2119
4237138690,121e015d-26a9-4df7-b2d3-bd580b4befac,8/26/2010 12:00:00 AM,0,,2 7/8,1443
4237138690,121e015d-26a9-4df7-b2d3-bd580b4befac,12/3/2013 12:00:00 AM,0,,3 1/2,1470
4237138690,121e015d-26a9-4df7-b2d3-bd580b4befac,8/16/2012 12:00:00 AM,0,,3 1/2,1467
4237138690,121e015d-26a9-4df7-b2d3-bd580b4befac,1/6/2011 12:00:00 AM,0,,3 1/2,1462
4237135274,b902dd8a-766d-4c6d-8856-edc97e22fd9a,1/14/2011 12:00:00 AM,1292,,2 3/8,1270
4237135274,b902dd8a-766d-4c6d-8856-edc97e22fd9a,9/16/1985 12:00:00 AM,0,,3 1/2,1434
4237135274,b902dd8a-766d-4c6d-8856-edc97e22fd9a,11/1/2011 12:00:00 AM,0,,3 1/2,1313
4237103008,05010bea-6f81-4c51-ba97-edd5fb2d8e8f,7/1/1997 12:00:00 AM,0,,2 3/8,1773
4237103008,05010bea-6f81-4c51-ba97-edd5fb2d8e8f,5/18/2020 12:00:00 AM,0,,2 3/8,1799
4237103008,05010bea-6f81-4c51-ba97-edd5fb2d8e8f,10/27/2010 12:00:00 AM,0,,2 3/8,1961
4237135795,43004604-369c-4e9d-9df3-bda0de73d1b0,12/12/1986 12:00:00 AM,1450,,2 3/8,1458
4237135795,43004604-369c-4e9d-9df3-bda0de73d1b0,12/12/1986 12:00:00 AM,1450,,2 3/8,1458
4237138920,ccb4faa0-1b4e-4001-be11-ee799d50abb8,8/15/2012 12:00:00 AM,0,,2 3/8,3514
4237133806,a7168d08-b604-454e-be1c-be6b3ad4324d,6/10/1997 12:00:00 AM,0,,2 3/8,1633
4237133806,a7168d08-b604-454e-be1c-be6b3ad4324d,11/13/2010 12:00:00 AM,0,,2 3/8,1716
4237133806,a7168d08-b604-454e-be1c-be6b3ad4324d,12/22/1995 12:00:00 AM,0,,2 3/8,1597
4237110933,00467069-2b98-45e2-88bc-bea65a9408db,6/23/2013 12:00:00 AM,0,,2 7/8,9389
4237135277,ecbca1e4-0d46-4fca-a46e-ee946696ee2b,11/9/2011 12:00:00 AM,0,,3 1/2,1334
4237135277,ecbca1e4-0d46-4fca-a46e-ee946696ee2b,9/20/1985 12:00:00 AM,1352,,2 3/8,1361
4237135277,ecbca1e4-0d46-4fca-a46e-ee946696ee2b,12/13/1997 12:00:00 AM,1355,,2 3/8,1350
4237139143,a258a21a-8655-4ec6-adad-ee9e7506f543,4/7/2014 12:00:00 AM,0,,2 7/8,9533
4237134955,3fc3b3f3-85db-4f18-aa74-bf00a142291d,,0,,2 3/8,1794
4237134955,3fc3b3f3-85db-4f18-aa74-bf00a142291d,3/20/1996 12:00:00 AM,0,,2 3/8,1773
4237134955,3fc3b3f3-85db-4f18-aa74-bf00a142291d,9/17/1998 12:00:00 AM,0,,2 3/8,1800
4237134955,3fc3b3f3-85db-4f18-aa74-bf00a142291d,10/18/1984 12:00:00 AM,1597,,2 3/8,1695
4237134955,3fc3b3f3-85db-4f18-aa74-bf00a142291d,9/7/2013 12:00:00 AM,0,,2 3/8,1831
4237133419,3c4608bd-837d-4c28-a836-bf0aa55af176,2/19/1998 12:00:00 AM,0,,2 3/8,1769
4237133419,3c4608bd-837d-4c28-a836-bf0aa55af176,5/14/2011 12:00:00 AM,0,,2 3/8,1850
4237133419,3c4608bd-837d-4c28-a836-bf0aa55af176,,0,,2 3/8,2188
4237133419,3c4608bd-837d-4c28-a836-bf0aa55af176,1/6/2012 12:00:00 AM,0,,2 3/8,1881
4237139033,15e8da6c-f159-4859-9fd8-bf3a4a8017f7,8/20/2014 12:00:00 AM,0,,2 3/8,1838
4237138698,1b835de5-4e64-416a-8cd9-eef088276d9f,8/13/2010 12:00:00 AM,0,,2 3/8,4195
4237134402,41b7c49d-6af4-40a7-923a-45f9bec7adf5,1/11/2020 12:00:00 AM,0,,2 3/8,1669
4237134402,41b7c49d-6af4-40a7-923a-45f9bec7adf5,2/12/2014 12:00:00 AM,0,,2 3/8,1883
4237134402,41b7c49d-6af4-40a7-923a-45f9bec7adf5,8/27/1996 12:00:00 AM,0,,2 3/8,1596
