API,Comments,LowerPerf,PerfDate,Reservoir,UpperPerf,WellId
4232936741,,10220,,WOLFCAMP C,10162,ddd4affa-6061-446f-b258-737ae39d913d
4232936784,,8326,,UPPER SPRABERRY,7004,58d8b9ba-d289-4d01-bf8c-0bb629b12316
4232901842,,9316,,LOWER SPRABERRY,7768,89207377-970f-497e-88d6-1bd22cf86ec0
4232936598,,10880,,,10495,17437ed1-be48-4143-b307-ff60dc8bf740
4232936784,,8608,,WOLFCAMP A,8450,58d8b9ba-d289-4d01-bf8c-0bb629b12316
4232936784,,10194,,WOLFCAMP A,8704,58d8b9ba-d289-4d01-bf8c-0bb629b12316
4232936838,,4892,,,4520,b1575475-aaee-4287-b696-abab53e04bcb
4232936768,,11540,,UPPER SPRABERRY,8078,1c99f0ba-c8df-40a5-b487-3e0dc7f30478
4232936556,,8788,,LOWER SPRABERRY,8766,9749d1ca-3dc8-4265-8c1d-03e06dfd318c
4232936556,,7914,,,7638,9749d1ca-3dc8-4265-8c1d-03e06dfd318c
4232936851,,10675,,WOLFCAMP D,8245,815ba81f-71b8-45bb-ad91-c4608fc6dab8
4232936720,,10430,,UPPER SPRABERRY,8331,f0e6f2cb-5320-4bff-9273-2c4ab98e4a05
4232936531,,10239,,LOWER SPRABERRY,7560,c1acb4e2-51f3-4a36-952e-24f707ea7a73
4232936729,,11115,,,10695,2939aa53-5100-49df-b491-52545f3e244f
4232936556,,9962,,WOLFCAMP C,8212,9749d1ca-3dc8-4265-8c1d-03e06dfd318c
4232936720,,11050,,,10615,f0e6f2cb-5320-4bff-9273-2c4ab98e4a05
4232936729,,10500,,WOLFCAMP D,8376,2939aa53-5100-49df-b491-52545f3e244f
4232936835,,10227,,UPPER SPRABERRY,7994,0339359f-a4ed-4c35-b1bb-79729be2cffe
4232936831,,9990,,WOLFCAMP C,9900,56ed0c04-2692-4ebe-81c0-545477ef62e0
4232936556,,7368,,,7186,9749d1ca-3dc8-4265-8c1d-03e06dfd318c
4232936556,,9220,,WOLFCAMP A,9200,9749d1ca-3dc8-4265-8c1d-03e06dfd318c
4232936566,,9214,,WOLFCAMP A,9194,ece488ff-0a4f-4563-83e1-0f40a848080d
4232936470,,9606,,WOLFCAMP B,9586,cbc32b88-03d0-45af-8a49-1e0a17053da9
4232936905,,10673,,WOLFCAMP D,7733,94ed5225-21c6-439e-b2fc-caf2cd2b0a35
4232936572,,10850,,UPPER SPRABERRY,7980,c7101f06-19ed-455f-8bde-e3266ffa4c7e
4232936556,,8440,,UPPER SPRABERRY,8420,9749d1ca-3dc8-4265-8c1d-03e06dfd318c
4232936566,,9457,,WOLFCAMP A,9437,ece488ff-0a4f-4563-83e1-0f40a848080d
4232936831,,8442,,LOWER SPRABERRY,8422,56ed0c04-2692-4ebe-81c0-545477ef62e0
4232936556,,9796,,WOLFCAMP B,9776,9749d1ca-3dc8-4265-8c1d-03e06dfd318c
4232936470,,9606,,WOLFCAMP A,9382,cbc32b88-03d0-45af-8a49-1e0a17053da9
4232936566,,9588,,WOLFCAMP B,9568,ece488ff-0a4f-4563-83e1-0f40a848080d
4232936470,,10030,,WOLFCAMP D,8002,cbc32b88-03d0-45af-8a49-1e0a17053da9
4232936556,,8232,,UPPER SPRABERRY,8212,9749d1ca-3dc8-4265-8c1d-03e06dfd318c
4232936831,,8100,,UPPER SPRABERRY,8080,56ed0c04-2692-4ebe-81c0-545477ef62e0
4232936734,,10513,,UPPER SPRABERRY,8372,66da2715-eb28-4aa9-860b-ecb827959a91
4232936626,,8230,,LOWER SPRABERRY,7011,f3fe9a64-6b27-44a2-b88a-8cd865364f88
4232936556,,9590,,WOLFCAMP B,9570,9749d1ca-3dc8-4265-8c1d-03e06dfd318c
4232936734,,10765,,,10680,66da2715-eb28-4aa9-860b-ecb827959a91
4232936831,,9490,,WOLFCAMP A,9390,56ed0c04-2692-4ebe-81c0-545477ef62e0
4232936470,,9800,,WOLFCAMP C,9780,cbc32b88-03d0-45af-8a49-1e0a17053da9
4232936566,,9750,,WOLFCAMP B,9730,ece488ff-0a4f-4563-83e1-0f40a848080d
4232936556,,9418,,WOLFCAMP A,9398,9749d1ca-3dc8-4265-8c1d-03e06dfd318c
4232936626,,10112,,WOLFCAMP D,8675,f3fe9a64-6b27-44a2-b88a-8cd865364f88
4232936831,,8800,,LOWER SPRABERRY,8770,56ed0c04-2692-4ebe-81c0-545477ef62e0
4232936566,,10115,,WOLFCAMP D,10095,ece488ff-0a4f-4563-83e1-0f40a848080d
4232936626,,8590,,DEAN,8474,f3fe9a64-6b27-44a2-b88a-8cd865364f88
4232936470,,10030,,WOLFCAMP D,10010,cbc32b88-03d0-45af-8a49-1e0a17053da9
4232936972,,10710,,UPPER SPRABERRY,7985,a55906fa-e6bc-4302-b9d9-de431e4dced3
4232936556,,9962,,WOLFCAMP C,9942,9749d1ca-3dc8-4265-8c1d-03e06dfd318c
4232936566,,9045,,LOWER SPRABERRY,9025,ece488ff-0a4f-4563-83e1-0f40a848080d
4232936831,,7780,,UPPER SPRABERRY,7730,56ed0c04-2692-4ebe-81c0-545477ef62e0
4232936566,,9930,,WOLFCAMP C,9910,ece488ff-0a4f-4563-83e1-0f40a848080d
4232936887,,10415,,,10270,21736b21-918c-409e-ad53-9da8d5da1aa3
4232936925,,10730,,,7744,1b3119e3-d459-47d7-ae2a-755798bbdbf7
4232931459,,11230,,,11174,b34cd338-d7ff-4a1f-b5f9-e308dd5d2fe2
4232936566,,8417,,UPPER SPRABERRY,8220,ece488ff-0a4f-4563-83e1-0f40a848080d
4232936887,,10113,,WOLFCAMP D,10093,21736b21-918c-409e-ad53-9da8d5da1aa3
4232931459,,9100,,LOWER SPRABERRY,8605,b34cd338-d7ff-4a1f-b5f9-e308dd5d2fe2
4232936887,,9061,,LOWER SPRABERRY,9041,21736b21-918c-409e-ad53-9da8d5da1aa3
4232936894,,10578,,WOLFCAMP D,8234,0fd7d073-fa3b-460c-88eb-a2234bdaa292
4232931459,,11718,,,11706,b34cd338-d7ff-4a1f-b5f9-e308dd5d2fe2
4232936887,,9422,,WOLFCAMP A,9402,21736b21-918c-409e-ad53-9da8d5da1aa3
4232937020,,9960,,UPPER SPRABERRY,7963,1fef3daf-b381-43d8-b193-931f431f3570
4232936913,,11080,,,10740,b3e93101-c5ee-4a80-a3c7-61b6a6195135
4232936887,,8433,,UPPER SPRABERRY,8178,21736b21-918c-409e-ad53-9da8d5da1aa3
4232931459,,8184,,LOWER SPRABERRY,7294,b34cd338-d7ff-4a1f-b5f9-e308dd5d2fe2
4232936887,,8040,,UPPER SPRABERRY,7886,21736b21-918c-409e-ad53-9da8d5da1aa3
4232937093,,10160,,WOLFCAMP A,8313,ff5ad7ce-c3f2-43ba-8527-92b177b106d5
4232936913,,10540,,WOLFCAMP D,8357,b3e93101-c5ee-4a80-a3c7-61b6a6195135
4232936887,,9573,,WOLFCAMP B,9553,21736b21-918c-409e-ad53-9da8d5da1aa3
4232936751,,10610,,UPPER SPRABERRY,8320,3123bac0-0220-4e97-b39b-3c274fed2048
4232936887,,9890,,WOLFCAMP B,9670,21736b21-918c-409e-ad53-9da8d5da1aa3
4232937061,,10508,,,10330,aa54ac0c-9c56-4e70-8f06-a93cc5457ae1
4232937061,,9903,,WOLFCAMP C,9733,aa54ac0c-9c56-4e70-8f06-a93cc5457ae1
4232936658,,9252,,WOLFCAMP A,9242,6fc6103b-ed10-4be4-b5fe-79577c899114
4232936658,,8574,,LOWER SPRABERRY,8564,6fc6103b-ed10-4be4-b5fe-79577c899114
4232936912,,11175,,,10720,3ea3ca43-fd57-4b46-9052-48bc28ac1102
4232937061,,9458,,WOLFCAMP A,9438,aa54ac0c-9c56-4e70-8f06-a93cc5457ae1
4232936962,,10800,,LOWER SPRABERRY,8625,a5d9b30f-414d-44e6-9e9a-e953d110ace9
4232936658,,9700,,WOLFCAMP B,9680,6fc6103b-ed10-4be4-b5fe-79577c899114
4232936912,,10529,,UPPER SPRABERRY,8317,3ea3ca43-fd57-4b46-9052-48bc28ac1102
4232937061,,9212,,WOLFCAMP A,9192,aa54ac0c-9c56-4e70-8f06-a93cc5457ae1
4232936658,,8928,,LOWER SPRABERRY,8908,6fc6103b-ed10-4be4-b5fe-79577c899114
4232936962,,10800,,LOWER SPRABERRY,8625,a5d9b30f-414d-44e6-9e9a-e953d110ace9
4232937061,,9665,,WOLFCAMP B,9586,aa54ac0c-9c56-4e70-8f06-a93cc5457ae1
4232936658,,10000,,WOLFCAMP D,9980,6fc6103b-ed10-4be4-b5fe-79577c899114
4232937061,,9097,,DEAN,8806,aa54ac0c-9c56-4e70-8f06-a93cc5457ae1
4232936658,,10210,,,10200,6fc6103b-ed10-4be4-b5fe-79577c899114
4232932356,,4445,,,4413,2ca1c1bd-05c0-40f5-8a40-3bf207574c3b
4232936658,,8192,,UPPER SPRABERRY,8182,6fc6103b-ed10-4be4-b5fe-79577c899114
4232932356,,4445,,,4413,2ca1c1bd-05c0-40f5-8a40-3bf207574c3b
4232937061,,10110,,WOLFCAMP D,10047,aa54ac0c-9c56-4e70-8f06-a93cc5457ae1
4232936658,,9430,,WOLFCAMP A,9410,6fc6103b-ed10-4be4-b5fe-79577c899114
4232936810,,9169,,WOLFCAMP A,8925,82ec4db1-48ab-4ae4-bb4a-bb4a1b0f3fd9
4232932356,,4445,,,4413,2ca1c1bd-05c0-40f5-8a40-3bf207574c3b
4232937061,,8361,,UPPER SPRABERRY,8070,aa54ac0c-9c56-4e70-8f06-a93cc5457ae1
4232936658,,9010,,LOWER SPRABERRY,9000,6fc6103b-ed10-4be4-b5fe-79577c899114
4232936658,,10422,,,10402,6fc6103b-ed10-4be4-b5fe-79577c899114
4232936810,,10494,,WOLFCAMP A,9259,82ec4db1-48ab-4ae4-bb4a-bb4a1b0f3fd9
4232936958,,11284,,UPPER SPRABERRY,7274,6841a427-b1fa-4cf9-8e4b-e3991a55bf68
4232937121,,10354,,WOLFCAMP D,8806,32ca1947-799a-4fe1-83bd-d767f3cc80bf
4232936971,,5216,,,4046,fcbd9e5b-426c-494c-b04e-7d26622daa99
4232937036,,11046,,LOWER SPRABERRY,9110,70ebb18b-9152-4e24-81b1-c0de431253f6
4232936810,,8458,,LOWER SPRABERRY,8329,82ec4db1-48ab-4ae4-bb4a-bb4a1b0f3fd9
