WellId,API,PermitId,SubmitDate,ApprovedDate,ExpiredDate,AmendedDate,PermitStatus,PermitPurpose,FiledBy
80670f49-05f3-422c-81cc-5ab69f799d83,05067095330000,,,,10/17/2019 8:50:07 AM,,,,
a9d042fe-679a-4e92-ae00-3ca445aed8ba,25101242340000,,,12/12/2013 12:00:00 AM,6/12/2014 12:00:00 AM,,,,
a9d042fe-679a-4e92-ae00-3ca445aed8ba,25101242340000,,,12/12/2013 12:00:00 AM,6/12/2014 12:00:00 AM,,,,
588492dd-45e0-4830-b298-273947c9be91,25035072030000,,,6/20/1966 12:00:00 AM,,,,,
35b7a95e-6175-4f2a-9d56-afc01e0ec300,3002541378,,,8/29/2017 12:00:00 AM,,,,,
61db6d29-7a76-4d4e-a440-0d974a58d36d,33025026090000,28945,,7/8/2016 12:54:21 AM,,,,,"PETRO-HUNT, L.L.C."
9f11cba5-5b23-4e34-ac9d-39780c6be214,33025026100000,28946,,7/8/2016 5:55:06 AM,,,,,"PETRO-HUNT, L.L.C."
8922196d-65ef-49c9-a1d1-b75ba0530931,33105025900000,22722,,7/8/2016 5:52:03 AM,,,,,QEP ENERGY COMPANY
dd387aee-1837-411a-89c1-b7bf77f4a02b,33105025890000,22721,,7/8/2016 5:52:05 AM,,,,,QEP ENERGY COMPANY
5af6c6eb-7220-440b-be33-bd0df599fe16,4236538085,770859,,10/18/2013 12:00:00 AM,,,,,"SAMSON LONE STAR, LLC"
678fab5a-b688-49a9-9d0d-eac1bfa80c82,4223933589,747393,,8/31/2012 12:00:00 AM,,,,,PHERE OPERATING INC
678fab5a-b688-49a9-9d0d-eac1bfa80c82,4223933589,832828,,11/15/2017 12:00:00 AM,11/15/2019 12:00:00 AM,,,,HILCORP ENERGY COMPANY
678fab5a-b688-49a9-9d0d-eac1bfa80c82,4223933589,832828,,12/22/2017 12:00:00 AM,11/15/2019 12:00:00 AM,12/22/2017 12:00:00 AM,,,HILCORP ENERGY COMPANY
6bf19f48-fa06-4c7a-b38c-2ab8875c1c14,4216534545,407457,,12/28/1992 12:00:00 AM,,,,,"BROWN, H. L., JR."
8515706d-6f9e-41b2-950b-e4b3dc622eff,4216537798,765505,,7/1/2013 12:00:00 AM,,,,,"SHERIDAN PRODUCTION COMPANY, LLC"
87c7e749-f797-42a6-99aa-a69d5a02f780,4225533934,787297,,10/12/2015 12:00:00 AM,8/6/2016 12:00:00 AM,10/12/2015 12:00:00 AM,,,STATOIL TEXAS ONSHORE PROP LLC
87c7e749-f797-42a6-99aa-a69d5a02f780,4225533934,820941,,12/16/2016 12:00:00 AM,12/16/2018 12:00:00 AM,,,,STATOIL TEXAS ONSHORE PROP LLC
87c7e749-f797-42a6-99aa-a69d5a02f780,4225533934,787297,,8/6/2014 12:00:00 AM,8/6/2016 12:00:00 AM,,,,
f93bcdcf-5ccd-4d65-8692-f53341d6ac9f,4225533912,821101,,12/21/2016 12:00:00 AM,12/21/2018 12:00:00 AM,,,,STATOIL TEXAS ONSHORE PROP LLC
f93bcdcf-5ccd-4d65-8692-f53341d6ac9f,4225533912,787312,,9/30/2015 12:00:00 AM,8/8/2016 12:00:00 AM,9/30/2015 12:00:00 AM,,,STATOIL TEXAS ONSHORE PROP LLC
f93bcdcf-5ccd-4d65-8692-f53341d6ac9f,4225533912,787312,,8/8/2014 12:00:00 AM,8/8/2016 12:00:00 AM,,,,
8682c883-6976-4054-bba6-f61b6b046a59,4225533911,821105,,12/21/2016 12:00:00 AM,12/21/2018 12:00:00 AM,,,,STATOIL TEXAS ONSHORE PROP LLC
8682c883-6976-4054-bba6-f61b6b046a59,4225533911,787303,,9/30/2015 12:00:00 AM,8/8/2016 12:00:00 AM,9/30/2015 12:00:00 AM,,,STATOIL TEXAS ONSHORE PROP LLC
8682c883-6976-4054-bba6-f61b6b046a59,4225533911,787303,,8/8/2014 12:00:00 AM,8/8/2016 12:00:00 AM,,,,
9635d39b-ccb5-46b6-aa84-41e9ce59ac99,4227531699,283187,,8/23/1985 12:00:00 AM,,,,,"NATIONAL DIVERSIFIED PROP., CO."
5c30d76c-e108-4492-ba28-b8a634b32ee3,4228931896,702599,,9/24/2010 12:00:00 AM,,,,,RIPPY OIL COMPANY
5c30d76c-e108-4492-ba28-b8a634b32ee3,4228931896,702599,,1/8/2018 12:00:00 AM,9/24/2012 12:00:00 AM,1/8/2018 12:00:00 AM,,,RIPPY OIL COMPANY
5c30d76c-e108-4492-ba28-b8a634b32ee3,4228931896,702599,,5/18/2018 12:00:00 AM,9/24/2012 12:00:00 AM,5/18/2018 12:00:00 AM,,,RIPPY OIL COMPANY
9aa2f2c7-9881-467e-b454-633cb89e4436,4218733075,282879,,8/15/1985 12:00:00 AM,,,,,"PERKINS, EUGENE O."
bd0172c2-b520-41df-b307-bc2589a88ddd,4207932142,283186,,8/20/1985 12:00:00 AM,,,,,SANTA FE ENERGY CO.
2bc0e93c-e14d-4f26-b66f-dce56c7251b2,37117216360000,117-21636,,6/7/2017 12:00:00 AM,,,,,PA GEN ENERGY CO LLC
2bc0e93c-e14d-4f26-b66f-dce56c7251b2,37117216360000,117-21636,,6/11/2013 12:00:00 AM,,,,,PA GEN ENERGY CO LLC
4b960f46-5efe-4a4d-a8c9-1fdd6193db88,4220333741,629883,,12/6/2006 12:00:00 AM,,,,,FOREST OIL CORPORATION
4b960f46-5efe-4a4d-a8c9-1fdd6193db88,4220333741,643391,,8/6/2007 12:00:00 AM,,,,,FOREST OIL CORPORATION
4b960f46-5efe-4a4d-a8c9-1fdd6193db88,4220333741,833237,,11/16/2017 12:00:00 AM,11/16/2019 12:00:00 AM,,,,SABINE OIL & GAS CORPORATION
5e6d4cda-ea1e-4c83-b1a0-feb44be8809c,4241931172,642899,,7/31/2007 12:00:00 AM,,,,,"DEVON ENERGY PRODUCTION CO, L.P."
5e6d4cda-ea1e-4c83-b1a0-feb44be8809c,4241931172,834921,,1/18/2018 12:00:00 AM,1/18/2020 12:00:00 AM,,,,"SHERIDAN PRODUCTION COMPANY, LLC"
3cd39389-57ca-41a3-afe1-9578d89a5a46,4220333321,608792,,11/1/2005 12:00:00 AM,,,,,"CHALKER ENERGY MANAGEMENT,LLC"
963f6214-7279-4fa7-b3fd-45ac5f7fc22d,4243936960,784352,,5/23/2014 12:00:00 AM,5/23/2016 12:00:00 AM,,,,"CHESAPEAKE OPERATING, INC."
963f6214-7279-4fa7-b3fd-45ac5f7fc22d,4243936960,784352,,10/23/2014 12:00:00 AM,5/23/2016 12:00:00 AM,10/23/2014 12:00:00 AM,,,"CHESAPEAKE OPERATING, INC."
963f6214-7279-4fa7-b3fd-45ac5f7fc22d,4243936960,784352,,10/22/2015 12:00:00 AM,5/23/2016 12:00:00 AM,10/22/2015 12:00:00 AM,,,"CHESAPEAKE OPERATING, L.L.C."
963f6214-7279-4fa7-b3fd-45ac5f7fc22d,4243936960,784352,,7/2/2014 12:00:00 AM,5/23/2016 12:00:00 AM,7/2/2014 12:00:00 AM,,,"CHESAPEAKE OPERATING, INC."
963f6214-7279-4fa7-b3fd-45ac5f7fc22d,4243936960,784352,,11/3/2017 12:00:00 AM,5/23/2016 12:00:00 AM,11/3/2017 12:00:00 AM,,,"TEP BARNETT USA, LLC"
47a14509-9009-46da-9ccc-56744cb44c39,4243936674,746550,,10/15/2014 12:00:00 AM,,,,,"CHESAPEAKE OPERATING, INC."
47a14509-9009-46da-9ccc-56744cb44c39,4243936674,746550,,12/11/2017 12:00:00 AM,8/23/2014 12:00:00 AM,12/11/2017 12:00:00 AM,,,"TEP BARNETT USA, LLC"
be46cfc2-ce01-440e-811f-b16c6bbcb1a6,4243936745,754866,,4/9/2015 12:00:00 AM,,,,,"CHESAPEAKE OPERATING, L.L.C."
f9d395d1-eb20-40c9-8c12-42dd0b8243af,4200131315,146438,,12/31/1981 12:00:00 AM,,,,,"KILROY COMPANY OF TEXAS, INC."
f9d395d1-eb20-40c9-8c12-42dd0b8243af,4200131315,831194,,9/26/2017 12:00:00 AM,9/26/2019 12:00:00 AM,,,,"UPSTREAM RESOURCE PARTNERS, LLC"
f9d395d1-eb20-40c9-8c12-42dd0b8243af,4200131315,831194,,4/19/2018 12:00:00 AM,9/26/2019 12:00:00 AM,4/19/2018 12:00:00 AM,,,"UPSTREAM RESOURCE PARTNERS, LLC"
b5e87e73-756a-45ea-99fc-7268ad40aff5,4200730825,448616,,8/15/1996 12:00:00 AM,,,,,MITCHELL ENERGY CORPORATION
b5e87e73-756a-45ea-99fc-7268ad40aff5,4200730825,712293,,3/24/2011 12:00:00 AM,,,,,"CHAPARRAL ENERGY, L.L.C."
8b9feccb-eac8-4d44-806a-6b25708e7e3c,4200936309,163741,,6/16/1982 12:00:00 AM,,,,,GJS OPERATING
7e940a37-416f-4dc1-a264-012e8f52d185,4247938282,526299,,12/12/2002 12:00:00 AM,,,,,CONOCO INC.
7e940a37-416f-4dc1-a264-012e8f52d185,4247938282,835527,,1/29/2018 12:00:00 AM,1/29/2020 12:00:00 AM,,,,HILCORP ENERGY COMPANY
04b52a3b-e110-4d6d-8cc6-0962a79b82a6,4247937047,478542,,8/6/1998 12:00:00 AM,,,,,CONOCO INC.
04b52a3b-e110-4d6d-8cc6-0962a79b82a6,4247937047,835671,,1/30/2018 12:00:00 AM,1/30/2020 12:00:00 AM,,,,HILCORP ENERGY COMPANY
6719f2d7-116c-4c5f-a709-a30e71ba8600,4200932368,831495,,11/28/2017 12:00:00 AM,11/28/2019 12:00:00 AM,,,,"ENR OPERATING, LLC"
d040dccb-94db-4e7d-9cf0-85a51182c0e0,4247937411,491319,,1/21/2000 12:00:00 AM,,,,,CONOCO INC.
d040dccb-94db-4e7d-9cf0-85a51182c0e0,4247937411,835474,,1/29/2018 12:00:00 AM,1/29/2020 12:00:00 AM,,,,HILCORP ENERGY COMPANY
47c9209e-b856-4112-9aa8-d508676d0a47,4236330806,786460,,6/20/2014 12:00:00 AM,6/20/2016 12:00:00 AM,,,,"CUMMING COMPANY, INC. THE"
a7752024-59e4-40bf-b658-18e101667aa1,4211533671,786112,,5/29/2015 12:00:00 AM,6/19/2016 12:00:00 AM,5/29/2015 12:00:00 AM,,,
a7752024-59e4-40bf-b658-18e101667aa1,4211533671,786112,,6/19/2014 12:00:00 AM,6/19/2016 12:00:00 AM,,,,
a7752024-59e4-40bf-b658-18e101667aa1,4211533671,824052,,3/17/2017 12:00:00 AM,3/17/2019 12:00:00 AM,,,,DIAMONDBACK E&P LLC
a4d3cace-3ab1-4244-89d0-a9f60498c690,4247943000,792029,,8/19/2014 12:00:00 AM,8/19/2016 12:00:00 AM,,,,"LEWIS PETRO PROPERTIES, INC."
a4d3cace-3ab1-4244-89d0-a9f60498c690,4247943000,836419,,2/21/2018 12:00:00 AM,2/21/2020 12:00:00 AM,,,,"LEWIS PETRO PROPERTIES, INC."
