WellId,API,Name,ShortName,TopDepth,BaseDepth,MethodObtained,IsProducing,IsTarget
be96aa23-1c40-4641-8010-dd3d5fb46606,33053077740000,,span title=33006>33006,,,,False,False
74c67399-2f6c-47a7-bbc6-6c684d119de9,33061026170000,,span title=31440>31440,,,,False,False
b8e92c0c-e4c1-497b-9115-3f76a3ff9c12,33025030840000,,span title=32348>32348,,,,False,False
89fbfb99-5a88-4ea0-972e-8aba0cf35d25,33105043530000,,span title=33287>33287,,,,False,False
da37f4c0-a630-422a-bcae-a3921b2154af,33053078240000,,span title=33098>33098,,,,False,False
e5bc7839-82b3-4563-84e8-9834e285ec3b,33105043520000,,span title=33287>33287,,,,False,False
1d1ec529-27b3-4c53-a102-db27cade41e3,33053077230000,,span title=32932>32932,,,,False,False
2e790726-73c4-4eae-bd0f-16dd9d2ecde1,33025031930000,,span title=32841>32841,,,,False,False
477912d3-e355-4621-b0f4-2e368c402248,33025030860000,,span title=32347>32347,,,,False,False
3ceb3072-fa95-4fcb-bbed-6ff760fb519a,33105041430000,,span title=31702>31702,,,,False,False
317c893f-e9bc-4481-8996-06c467d55719,33105043660000,,span title=33319>33319,,,,False,False
5cc7d2cb-d1aa-455a-821e-0bada07d6578,33053077570000,,span title=33337>33337,,,,False,False
a38daad7-a41d-48c0-a592-113f44562dbf,33025029710000,,span title=31581>31581,,,,False,False
2f3b5134-3e25-49f2-b4f3-bc5e73cbc0ec,33053071020000,,span title=31612>31612,,,,False,False
1c05612b-23d3-4276-a5ad-266bf57ae269,33105041300000,,span title=32898>32898,,,,False,False
1903d385-7e06-409a-98f4-efbfcae88863,33053077550000,,span title=33337>33337,,,,False,False
5c48a9ad-b6e5-40cb-9e82-2505f5923c1e,33053079640000,,span title=33460>33460,,,,False,False
1ef1ccfc-5c9b-43e9-b2fc-cd1bddc2549a,33053070610000,,span title=31523>31523,,,,False,False
ba0951dd-ad5f-4e12-a9ab-95f85c437c5e,33105043670000,,span title=33318>33318,,,,False,False
fedfef6f-98e1-486f-b5ed-a8ffbd4ef21f,33053078380000,,span title=33117>33117,,,,False,False
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,,span title=30966>30966,,,,False,False
aba2559c-7c04-4d4d-8dbb-f4a44cae559f,33053076320000,,span title=32714>32714,,,,False,False
1283a5c5-57d9-4d27-b253-be121ab48c41,33053075570000,,span title=32590>32590,,,,False,False
29d7ea21-5375-4e64-9513-6dec5b4e33d9,33053077560000,,span title=33337>33337,,,,False,False
65747b5c-4222-4a2a-b2ec-57741c3e1e18,33105041390000,,span title=31703>31703,,,,False,False
84554e7f-ba8d-45c9-be3b-4719846a0fb4,33053074120000,,span title=32307>32307,,,,False,False
a189e977-9d1b-4ebf-8bd2-1ce6e1cece6e,33025027010000,,span title=29713>29713,,,,False,False
fc897859-caa8-4111-bb29-75fa22bff97b,33061037310000,,span title=31417>31417,,,,False,False
f3fbc109-bc65-4a2d-aad9-e5d4b25bf715,33025030850000,,span title=32348>32348,,,,False,False
8de43b2f-defe-463f-ae0a-6a2cb4bf69cc,33061022860000,,span title=23966>23966,,,,False,False
63e65f59-88e4-4114-b73a-da6feb3dffd8,33053077250000,,span title=32931>32931,,,,False,False
3b2c0ad8-55c4-47fb-82c5-1fd5190d98b7,33061037480000,,span title=31440>31440,,,,False,False
58f00279-6d80-449f-afd0-a4cc46d81e83,33053077580000,,span title=33337>33337,,,,False,False
01fd7c2d-1f35-4b6d-b335-e8ffd164cb3e,33053078400000,,span title=33117>33117,,,,False,False
90866b38-4325-4a18-bc06-b6006aaa5b45,33105043760000,,span title=33357>33357,,,,False,False
5d445147-0b75-4718-8c4f-74113b1398c0,33105040890000,,span title=32901>32901,,,,False,False
d946623f-0fe7-499b-89b2-910c649af3e9,33105043830000,,span title=33367>33367,,,,False,False
a0a730a5-fe7d-48f4-85f3-e45003152eba,33053077590000,,span title=33337>33337,,,,False,False
6713e96e-c1be-45b0-ae3c-89c4d3e15524,33025032390000,,span title=33122>33122,,,,False,False
ab2fa47d-0472-48e9-b2cc-4b5c5fb9ec68,33053063260000,,span title=32714>32714,,,,False,False
b2d32f11-6448-4d18-ab2d-35ac0a428028,33105042860000,,span title=32900>32900,,,,False,False
5dc690fe-8310-43c3-9d85-c611421825ad,33025026340000,,span title=29070>29070,,,,False,False
1678cd45-32af-4e63-a814-f74a43f6e56a,33025026350000,,span title=29069>29069,,,,False,False
d961736b-9db6-4377-aa9d-98f763b7a83b,33061022820000,,span title=23967>23967,,,,False,False
19b5f697-0bbd-4dc4-9d75-a70d530604ec,33053070990000,,span title=31613>31613,,,,False,False
3cb68e00-f788-4bba-8597-079908526251,33053074150000,,span title=32307>32307,,,,False,False
b3edd292-c33c-4e6e-a33c-f79a142655bd,33105043550000,,span title=33286>33286,,,,False,False
0585def2-62a5-4566-93d4-ee585ad1e240,33025031940000,,span title=32841>32841,,,,False,False
ca9b2b03-afe7-4468-9230-dd939a3fe5c7,33061022850000,,span title=23967>23967,,,,False,False
e2e47adf-d549-403c-8e43-a007cbeb288e,33061037320000,,span title=31417>31417,,,,False,False
987739c4-ada1-4741-9d45-175f0e7679ce,33025032450000,,span title=33140>33140,,,,False,False
845c014b-e978-48bd-bae1-be2534cac8ce,33025032680000,,span title=33403>33403,,,,False,False
e81c8b3f-90eb-4624-ba30-8fe7148bfa35,33105043730000,,span title=33358>33358,,,,False,False
6080fd0d-d381-4bf3-a4df-9839d064b63d,33053079570000,,span title=33416>33416,,,,False,False
2f6c3a6d-ee17-4d2c-93f0-04147946aeb6,33053076330000,,span title=32713>32713,,,,False,False
e7393f07-abfd-433b-96f1-f75daacdf645,33105040870000,,span title=31443>31443,,,,False,False
886cd64d-0bb3-4fec-a374-2b5f5471a9c9,33105043630000,,span title=33319>33319,,,,False,False
26b02d91-4ce9-42b9-bdde-ea4fb0162681,33025032430000,,span title=33140>33140,,,,False,False
53de12b7-5309-419f-b839-9d0f356e57d0,33053079480000,,span title=32980>32980,,,,False,False
aa65195f-b274-4a20-a391-fa20064147ae,33105043720000,,span title=33358>33358,,,,False,False
cebe8d5e-a15a-4056-9531-d7302462f82a,33105041400000,,span title=31703>31703,,,,False,False
41338741-d218-48f5-b73b-2315b3c4a2b4,33061040140000,,span title=33385>33385,,,,False,False
f191ab6a-c392-46f4-847c-4a1cfec1ddba,33053077240000,,span title=32932>32932,,,,False,False
263eb402-7a21-4235-b2e6-ce677bcb62ef,33025029170000,,span title=31130>31130,,,,False,False
f5c08dbb-f62f-4355-92ee-77993460a672,33053077750000,,span title=33006>33006,,,,False,False
