API,Date,Field,Formation,Lease,Operator,Pool,CO2Injection,GasInjection,OtherInjection,TubingPressure,WaterInjection,WellId
04030328690000,12/1/2008 12:00:00 AM,Cymric,TULARE,McPhee,CHEVRON USA INC,TULARE,0,0,0,164,2238,ceb43361-dceb-4ed5-b9b1-ac3ad95ff8b6
04030386480000,2/1/2013 12:00:00 AM,Lost Hills,TULARE,Lost Hills Govt.,AERA ENERGY LLC,TULARE,0,0,0,190,2140,927e9b1b-f84f-459b-b338-f8446734783e
04030328690000,4/1/2010 12:00:00 AM,Cymric,TULARE,McPhee,CHEVRON USA INC,TULARE,0,0,0,45,3133,ceb43361-dceb-4ed5-b9b1-ac3ad95ff8b6
04030328690000,4/1/2009 12:00:00 AM,Cymric,TULARE,McPhee,CHEVRON USA INC,TULARE,0,0,0,175,5941,ceb43361-dceb-4ed5-b9b1-ac3ad95ff8b6
04030315870000,2/1/2009 12:00:00 AM,"Belridge, South",TULARE,SEBU T,AERA ENERGY LLC,TULARE,0,0,0,275,8292,f8a967bc-f3d7-440b-a220-01b919edca83
04030328690000,2/1/2010 12:00:00 AM,Cymric,TULARE,McPhee,CHEVRON USA INC,TULARE,0,0,0,18,4180,ceb43361-dceb-4ed5-b9b1-ac3ad95ff8b6
04030328690000,2/1/2015 12:00:00 AM,Cymric,TULARE,McPhee,CHEVRON USA INC,TULARE,0,0,0,55,1389,ceb43361-dceb-4ed5-b9b1-ac3ad95ff8b6
04030328690000,10/1/2010 12:00:00 AM,Cymric,TULARE,McPhee,CHEVRON USA INC,TULARE,0,0,0,56,18372,ceb43361-dceb-4ed5-b9b1-ac3ad95ff8b6
04030328690000,5/1/2015 12:00:00 AM,Cymric,TULARE,McPhee,CHEVRON USA INC,TULARE,0,0,0,117,4352,ceb43361-dceb-4ed5-b9b1-ac3ad95ff8b6
04030328690000,11/1/2009 12:00:00 AM,Cymric,TULARE,McPhee,CHEVRON USA INC,TULARE,0,0,0,94,4475,ceb43361-dceb-4ed5-b9b1-ac3ad95ff8b6
04030315870000,6/1/2007 12:00:00 AM,"Belridge, South",TULARE,SEBU T,AERA ENERGY LLC,TULARE,0,0,0,240,9067,f8a967bc-f3d7-440b-a220-01b919edca83
04030328690000,3/1/2012 12:00:00 AM,Cymric,TULARE,McPhee,CHEVRON USA INC,TULARE,0,0,0,73,2109,ceb43361-dceb-4ed5-b9b1-ac3ad95ff8b6
04030272810000,1/1/2015 12:00:00 AM,"Belridge, South",TULARE,SEBU T,AERA ENERGY LLC,TULARE,0,0,0,123,11118,a82c1c0d-2797-4af8-9187-54ce8663f446
04030328690000,4/1/2015 12:00:00 AM,Cymric,TULARE,McPhee,CHEVRON USA INC,TULARE,0,0,0,116,4144,ceb43361-dceb-4ed5-b9b1-ac3ad95ff8b6
04030449480000,11/1/2016 12:00:00 AM,"Belridge, South",TULARE,SEBU T,AERA ENERGY LLC,TULARE,0,0,0,200,8318,6e0b4cb5-f0fa-41f8-ae42-76b5d3c1e1e0
