WellId,API,FracStart,FracEnd,OperatorName,ServiceCompany,TVD,TotalBaseWaterVolume,TotalBaseNonWaterVolume,TotalFracMass,TotalBaseWaterVolumeMass,TotalProppantMass,FluidSystem,ProppantMaterial,CrosslinkFluid,SurfactantPresent,ScaleInhibitorPresent,ClayControlPresent,ClayControlAgent,AcidTreatmentPresent
a4d3cace-3ab1-4244-89d0-a9f60498c690,4247943000,3/11/2016 12:00:00 AM,3/22/2016 12:00:00 AM,Lewis Energy Group,Weatherford,,8806742,0,8.000708E+07,7.336016E+07,1.01295E+07,Slickwater,Natural Sand,,True,False,True,Proprietary salt,True
398c33b0-9e6e-4d79-837c-16d69187482e,4235733639,,,,,,,,,,0,,Natural Sand,,False,False,False,,False
4e5be8f4-d6a8-4115-9e65-53cc1c48ada4,4238935158,5/10/2016 12:00:00 AM,5/14/2016 12:00:00 AM,"BHP Billiton Petroleum ",Schlumberger,,5353863,0,5.040542E+07,4.459768E+07,235.8555,Crosslink,Natural Sand,,True,False,True,,True
25a3ebbe-4017-4336-a1d4-eacb0d53e34c,4210933034,,,,,,,,,,,,,,False,False,False,,False
f83ed8bf-01c8-421a-9e4b-6308533e48bb,4235733637,,,,,,,,,,0,,Natural Sand,,False,False,False,,False
677c359b-16c9-40ef-85df-3de74c546ae1,4236538043,4/21/2014 12:00:00 AM,4/22/2014 12:00:00 AM,Samson,Halliburton,,5242721,0,4.868413E+07,4.377658E+07,4525559,Linear,Natural Sand,,True,False,True,Quaternary Ammonium Chloride,True
93454ba4-29bc-4396-8a4f-3670c66edd1e,4238934953,3/16/2016 12:00:00 AM,3/21/2016 12:00:00 AM,"BHP Billiton Petroleum ",Schlumberger,,5234725,0,,4.360526E+07,0,Crosslink,Natural Sand,Borate Based,True,False,True,Water (Including Mix Water Supplied by Client)*,True
004c23ca-b963-444a-aa71-9fcc6d10903d,4205133955,3/10/2016 12:00:00 AM,3/21/2016 12:00:00 AM,PMO,C&J Well Services,,416379,0,1.9985E+07,3468437,0,Slickwater,Natural Sand,,True,False,True," ",True
371ba479-8e2e-4045-8702-78b222f91c7f,4238934797,10/23/2015 12:00:00 AM,10/27/2015 12:00:00 AM,"BHP Billiton Petroleum ",Schlumberger,,8524018,0,,7.100507E+07,0,Crosslink,Natural Sand,Borate Based,True,False,True,Water (Including Mix Water Supplied by Client)*,True
415a096a-5eb2-4d5d-8078-671b4190d53e,4238935159,,,,,,,,,,0,,Natural Sand,,False,False,False,,False
947d2b0b-ba54-4871-8842-889e3924411b,4222738451,3/23/2015 12:00:00 AM,3/24/2015 12:00:00 AM,"Laredo Petroleum, Inc.",Economy Polymers,,1457274,0,1.325254E+07,1.216095E+07,889940,Slickwater,Natural Sand,,True,False,True,Sodium Chloride,True
24c0ce7c-b638-45e0-bd19-da1ad9ddfed7,4236537957,12/28/2012 12:00:00 AM,12/28/2012 12:00:00 AM,Samson,Halliburton,,3632912,,,3.026216E+07,0,Slickwater,Natural Sand,,True,False,True,Sodium Chloride,True
5af6c6eb-7220-440b-be33-bd0df599fe16,4236538085,4/5/2014 12:00:00 AM,4/5/2014 12:00:00 AM,Samson,Halliburton,,4312713,0,4.006929E+07,3.601103E+07,3727728,Slickwater,Natural Sand,,True,False,True,Quaternary Ammonium Chloride,True
4223e1d1-5fcc-4410-acbb-3e7c8c840dc3,4230132298,12/13/2014 12:00:00 AM,12/18/2014 12:00:00 AM,"BHP Billiton Petroleum ",Schlumberger,,6226550,0,,5.186716E+07,0,Crosslink,Natural Sand,Borate Based,True,False,True,Sodium chloride,True
cfe2445c-1b20-44ab-a870-5a2076f3e18d,4238935151,4/10/2016 5:00:00 AM,4/12/2016 5:00:00 AM,"BHP Billiton Petroleum ",Schlumberger,,5519683,0,5.224406E+07,4.597896E+07,259.4362,Crosslink,Natural Sand,,True,False,True,Sodium chloride,True
cfa43b25-c82c-4e91-8e6a-91de1b56ddf5,4235733641,,,,,,,,,,0,,Natural Sand,,False,False,False,,False
8f9819bb-4b93-43e5-9a92-f33fee996599,4240932772,6/2/2014 12:00:00 AM,6/2/2014 12:00:00 AM,"EOG Resources, Inc.",Pro-Stim,,33432,0,306201.9,278488.6,23811.43,Crosslink,Natural Sand,Borate Based,True,False,False,,False
d8d6f7cc-c060-4115-8346-20bd38299538,4238935032,11/24/2015 12:00:00 AM,11/30/2015 12:00:00 AM,"BHP Billiton Petroleum ",Schlumberger,,1.410958E+07,0,,1.175328E+08,0,Crosslink,Natural Sand,Borate Based,True,False,True,Water (Including Mix Water Supplied by Client)*,True
80a566aa-5177-44b6-83d6-1a87f5d0d4a4,4231136355,2/25/2015 12:00:00 AM,3/5/2015 12:00:00 AM,"BHP Billiton Petroleum ",Schlumberger,,6817124,0,,5.678664E+07,0,Linear,Natural Sand,,True,False,True,"2-hydroxy-N,N,N-trimethylethanaminium chloride",True
8819748c-a8ad-43ea-887c-a8747f8814ed,4238935070,1/24/2016 12:00:00 AM,1/28/2016 12:00:00 AM,"BHP Billiton Petroleum ",Schlumberger,,8661641,0,,7.215147E+07,0,Crosslink,Natural Sand,Borate Based,True,False,True,Water (Including Mix Water Supplied by Client)*,True
a77f7e87-0073-4320-993f-c26a7daa39a9,33053063290000,7/27/2017 5:00:00 AM,9/9/2017 5:00:00 AM,Statoil Oil & Gas LP,,,6652302,0,6.171914E+07,5.549514E+07,6123709,Slickwater,Natural Sand,,True,False,True,Sodium chloride,True
2f6c3a6d-ee17-4d2c-93f0-04147946aeb6,33053076330000,7/27/2017 5:00:00 AM,9/6/2017 5:00:00 AM,Statoil Oil & Gas LP,,,1.139962E+07,0,1.06552E+08,9.509198E+07,1.129502E+07,Slickwater,Natural Sand,,True,False,True,Sodium chloride,True
ab2fa47d-0472-48e9-b2cc-4b5c5fb9ec68,33053063260000,8/12/2017 5:00:00 AM,9/1/2017 5:00:00 AM,Statoil Oil & Gas LP,,,1.099083E+07,0,1.03436E+08,9.178185E+07,1.138576E+07,Slickwater,Natural Sand,,True,False,True,Sodium chloride,True
ba191a79-8e71-40a2-b036-53dca80ed7d2,33053063270000,7/28/2017 5:00:00 AM,9/9/2017 5:00:00 AM,Statoil Oil & Gas LP,,,1.282904E+07,0,1.187967E+08,1.071283E+08,1.1335E+07,Slickwater,Natural Sand,,True,False,True,Sodium chloride,False
0f4fd039-198c-41ed-9ca7-0f06d86a05de,33053076310000,8/11/2017 5:00:00 AM,9/1/2017 5:00:00 AM,Statoil Oil & Gas LP,,,6223009,0,5.801278E+07,5.191477E+07,5941049,Slickwater,Natural Sand,,True,False,True,Sodium chloride,True
3ec18795-fb8b-4a9a-9011-042ecb21d28d,4249533832,5/20/2017 12:00:00 AM,5/21/2017 12:00:00 AM,Blackbeard Operating,Solnexus,,781956,0,7398790,6525423,797440,Slickwater,Natural Sand,,True,False,False,,True
feae2cc8-6439-4a22-8aa7-0f7fb28507d7,4238934718,8/15/2016 5:00:00 AM,8/19/2016 5:00:00 AM,"BHP Billiton Petroleum ",Schlumberger,,5573210,0,5.270964E+07,4.642484E+07,226.6515,Crosslink,Natural Sand,,True,False,True,,True
398c33b0-9e6e-4d79-837c-16d69187482e,4235733639,6/16/2017 6:53:00 AM,6/18/2017 12:03:00 PM,MEWBOURNE OIL COMPANY,Chemplex,,3106111,151997,2.861229E+07,2.58739E+07,2276710,Slickwater,Natural Sand,,True,False,True,Choline Chloride,True
