WellId,API,Leg,MeasuredDepth,Incline,Azimuth,TVD,FtNS,NS,ftEW,EW,Latitude,Longitude
2a5e5a33-dd4d-49f0-b41e-db043b07f4d2,33053078230000,LAT1,17903,91.05,3.05,10987.56,7031.72,N,56.75,E,48.03278,-103.3075
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,VERT,8152,0.7,197.2,8151.65,22.56,S,20.95,W,47.99379,-103.3927
da37f4c0-a630-422a-bcae-a3921b2154af,33053078240000,VERT,2958,1,193,2957.59,18.83,S,2.35,W,48.01346,-103.3079
3cb68e00-f788-4bba-8597-079908526251,33053074150000,LAT1,20135,91,179.5,11090.29,9160.51,S,700.44,E,47.79251,-103.1136
cebe8d5e-a15a-4056-9531-d7302462f82a,33105041400000,VERT,9471,0.89,136.29,9379.16,889.29,S,653.37,E,48.28494,-103.5551
349f27f7-9b99-45d1-99ff-4a0f8df5c12a,33053078390000,VERT,7208,4.02,62.92,7190.26,242.09,N,331.41,E,47.78695,-103.0391
47fc4b2b-9585-4b8d-9d0b-50c77c871a0a,177224013300,,3100,,267.2,3099.76,,,,,28.66973,-89.39342
fedfef6f-98e1-486f-b5ed-a8ffbd4ef21f,33053078380000,LAT1,16626,89.17,359.62,10852.68,6313.1,N,726.17,E,47.8036,-103.0373
dd206cc3-0428-4664-95e9-79ea1d001362,177194043302,,5448,,227.6,5444.62,,,,,29.14,-89.6721
651e4099-9bd0-4f16-83d0-e5b466fe4bab,33105040860000,VERT,8337,0.71,113.94,8298.11,133.12,S,646.67,E,48.283,-103.5449
36e8b51f-32c5-45bb-9e79-0c281b833865,33053068220000,LAT1,10959,52.4,199.6,10876.76,236.4,S,86.67,W,47.99332,-103.3929
2f6c3a6d-ee17-4d2c-93f0-04147946aeb6,33053076330000,LAT1,11465,68.68,22.7,10984.01,226.29,N,2618.52,E,47.9077,-103.5196
65747b5c-4222-4a2a-b2ec-57741c3e1e18,33105041390000,LAT1,13896,88.25,181.18,10515.17,4072.37,S,2129.92,E,48.27621,-103.5489
01fd7c2d-1f35-4b6d-b335-e8ffd164cb3e,33053078400000,VERT,10289,0.88,7.25,10285.19,197.17,N,67.12,W,47.78682,-103.0409
651e4099-9bd0-4f16-83d0-e5b466fe4bab,33105040860000,LAT1,13845,89.85,179.79,10525.88,3445.13,S,1472,E,48.27392,-103.5415
2a5e5a33-dd4d-49f0-b41e-db043b07f4d2,33053078230000,LAT1,14107,90.65,3.04,11007.41,3239.39,N,81.75,W,48.02238,-103.3081
ab2fa47d-0472-48e9-b2cc-4b5c5fb9ec68,33053063260000,LAT1,14063,90.86,359.92,11025.58,3136.08,N,1039.51,E,47.91568,-103.5265
36e8b51f-32c5-45bb-9e79-0c281b833865,33053068220000,VERT,2565,1,87.1,2564.93,4.43,S,3.03,E,47.99396,-103.3925
aba2559c-7c04-4d4d-8dbb-f4a44cae559f,33053076320000,STK3,18402,88.34,180.62,11020.92,7402.58,S,2778.61,E,47.88676,-103.519
aba2559c-7c04-4d4d-8dbb-f4a44cae559f,33053076320000,VERT,5403,17.59,95.01,5301.47,84.49,S,815.3,E,47.90684,-103.5271
8a6bd5b5-7359-4126-bc7e-212946b4861c,177004017800,,7016,,172,6898.74,,,,,29.64443,-93.14182
fedfef6f-98e1-486f-b5ed-a8ffbd4ef21f,33053078380000,LAT1,17564,89.7,359.88,10851.75,7250.94,N,713.67,E,47.80618,-103.0374
1ef1ccfc-5c9b-43e9-b2fc-cd1bddc2549a,33053070610000,VERT,7813,0.3,196.2,7812.17,6.67,S,4.22,W,47.96186,-103.2937
651e4099-9bd0-4f16-83d0-e5b466fe4bab,33105040860000,VERT,5728,8.74,103.23,5697.2,92.35,S,490.92,E,48.28312,-103.5455
1ef1ccfc-5c9b-43e9-b2fc-cd1bddc2549a,33053070610000,VERT,6105,0.7,132.5,6104.4,7.31,N,9.23,W,47.96189,-103.2937
fedfef6f-98e1-486f-b5ed-a8ffbd4ef21f,33053078380000,VERT,2959,6.89,58.34,2953.88,54.44,N,76.57,E,47.78643,-103.04
0221c01b-c31a-48cc-bdcd-c860a263441f,33105041410000,LAT1,18990,89.82,180.98,10519.33,9461.77,S,1033.08,E,48.26142,-103.5536
a77f7e87-0073-4320-993f-c26a7daa39a9,33053063290000,LAT1,10650,5.73,142.53,10578.42,339.41,S,884.8,E,47.90614,-103.527
0f4fd039-198c-41ed-9ca7-0f06d86a05de,33053076310000,LAT1,17572,90.49,179.6,10993.39,6971.08,S,1044.42,E,47.88795,-103.5266
0f4fd039-198c-41ed-9ca7-0f06d86a05de,33053076310000,LAT1,10742,18.76,156.79,10706,331.9,S,634.36,E,47.90617,-103.5283
