API,CasingSize,CasingType,CasingWeight,CementSacks,CompletionDate,LowerSetDepth,UpperSetDepth,WellboreSize,WellId
4203933297,16,Casing,,0,,82,0,16,93cf0bb1-bae2-40ed-bc28-2c1cd45502aa
4238935280,7.625,Casing,,431,,10054,5000,8.75,b18c8734-1542-47c5-835a-b6104c291e04
4235733602,4.5,Liner,,415,,11540,6538,6.125,8b9b4628-b2e3-4e65-a520-2b421e1d56fa
4247943000,9.625,Casing,,738,,2826,0,12.25,a4d3cace-3ab1-4244-89d0-a9f60498c690
4247943000,5.5,Casing,,2761,,16819,1249,8.5,a4d3cace-3ab1-4244-89d0-a9f60498c690
4247130377,9.625,Casing,,1060,,10270,4380,12.25,b985b085-7a78-412f-8b81-94539f0468ac
4247130377,13.375,Casing,,1120,,1183,2983,17.5,b985b085-7a78-412f-8b81-94539f0468ac
4247130377,5.5,Casing,,2940,,19397,1262,8.75,b985b085-7a78-412f-8b81-94539f0468ac
4236330806,4.5,Casing,,725,,4504,2745,7.875,47c9209e-b856-4112-9aa8-d508676d0a47
4236330806,8.625,Casing,,150,,214,,12.25,47c9209e-b856-4112-9aa8-d508676d0a47
4247536935,4.5,Liner,,430,,16026,10635,6.125,fdb27abc-cd0b-4a95-ab80-1722cccc6430
4247536935,7,Casing,,345,,11315,4142,8.75,fdb27abc-cd0b-4a95-ab80-1722cccc6430
4247536935,9.625,Casing,,1200,,5160,1363,12.25,fdb27abc-cd0b-4a95-ab80-1722cccc6430
4231136355,5.5,Casing,,1880,,10656,2013,8.75,80a566aa-5177-44b6-83d6-1a87f5d0d4a4
4231136355,9.625,Casing,,1621,,4815,0,12.25,80a566aa-5177-44b6-83d6-1a87f5d0d4a4
4231136355,9.625,Casing,,1621,,4806,0,12.25,80a566aa-5177-44b6-83d6-1a87f5d0d4a4
4231136355,5.5,Casing,,1880,,10657,2057,8.75,80a566aa-5177-44b6-83d6-1a87f5d0d4a4
4231136355,4.5,Casing,,1880,,15873,2057,8.75,80a566aa-5177-44b6-83d6-1a87f5d0d4a4
4243936960,5.5,Casing,,1420,,13960,66,7.875,963f6214-7279-4fa7-b3fd-45ac5f7fc22d
4243936960,9.625,Casing,,340,,1162,0,12.25,963f6214-7279-4fa7-b3fd-45ac5f7fc22d
4231136548,9.625,Casing,,1525,,6276,,12.25,a4ab5008-9349-4b7b-8065-c10faac0a5df
4238934797,9.625,Casing,,441,,4196,0,10.625,371ba479-8e2e-4045-8702-78b222f91c7f
4230132923,7,Casing,,774,,12620,4382,8.75,eb633803-9072-4170-a7bf-224785965fc2
4230132954,9.625,Casing,,1670,,5435,0,12.25,0a1ea912-8d78-4c5a-9f94-b8046fc87b4e
4238935151,4.5,Casing,,1014,,14953,9100,6.75,cfe2445c-1b20-44ab-a870-5a2076f3e18d
4238934953,4.5,Casing,,839,,14937,9250,6.75,93454ba4-29bc-4396-8a4f-3670c66edd1e
4238934953,11.75,Casing,,1886,,1506,0,14.75,93454ba4-29bc-4396-8a4f-3670c66edd1e
17015250510000,10.75,,45.5,920,9/19/2017 12:00:00 AM,2018,0,13.5,e223fdba-895b-447e-b0b2-7a68222271f4
17011212060000,5.5,,17,565,10/31/2017 12:00:00 AM,10144,0,8.875,89b8702c-ba56-4d8f-8cc0-ae6651554235
17093203230000,7.625,,29.7,1050,11/11/2017 12:00:00 AM,11450,0,9.875,b6afd832-ea8a-4be8-acae-7ba3fdc739d3
