API,Comments,EffectiveDate,Field,Orginization,Status,StatusDate,WellName,WellId
25101242340000,,12/12/2013 12:00:00 AM,Kevin-Sunburst,"Somont Oil Company, Inc.",Producing,,State 36  63,a9d042fe-679a-4e92-ae00-3ca445aed8ba
25101242340000,,4/29/2014 12:00:00 AM,Kevin-Sunburst,"Somont Oil Company, Inc.",Producing,,State 36  63,a9d042fe-679a-4e92-ae00-3ca445aed8ba
25101242340000,,12/12/2013 12:00:00 AM,Kevin-Sunburst,"Somont Oil Company, Inc.",Permit to Drill,,State 36  63,a9d042fe-679a-4e92-ae00-3ca445aed8ba
25101242340000,,6/12/2014 12:00:00 AM,Kevin-Sunburst,"Somont Oil Company, Inc.",Permit to Drill,,State 36  63,a9d042fe-679a-4e92-ae00-3ca445aed8ba
25101242340000,Somont Oil Co. #3,4/4/2014 12:00:00 AM,Kevin-Sunburst,"Somont Oil Company, Inc.",Producing,,State 36  63,a9d042fe-679a-4e92-ae00-3ca445aed8ba
25101242340000,Converted to production.,5/6/2014 12:00:00 AM,Kevin-Sunburst,"Somont Oil Company, Inc.",Producing,,State 36  63,a9d042fe-679a-4e92-ae00-3ca445aed8ba
25101242340000,Converted to production.,5/6/2014 12:00:00 AM,Kevin-Sunburst,"Somont Oil Company, Inc.",Producing,,State 36  63,a9d042fe-679a-4e92-ae00-3ca445aed8ba
25101242340000,Initial production report; producing from Swift,2/13/2018 12:00:00 AM,Kevin-Sunburst,"Somont Oil Company, Inc.",Producing,,State 36  63,a9d042fe-679a-4e92-ae00-3ca445aed8ba
25035072030000,Mont-Mill Operating to Provident Energy Assoc.,1/23/1998 12:00:00 AM,Cut Bank,"Provident Energy Of Montana, LLC",Producing,,TMCBSU  3505,588492dd-45e0-4830-b298-273947c9be91
25035072030000,,6/20/1966 12:00:00 AM,Cut Bank,"Provident Energy Of Montana, LLC",Shut In,,TMCBSU  3505,588492dd-45e0-4830-b298-273947c9be91
25035072030000,Wold Oil Properties to Mont-Mill Operating,11/20/1989 12:00:00 AM,Cut Bank,"Provident Energy Of Montana, LLC",Producing,,TMCBSU  3505,588492dd-45e0-4830-b298-273947c9be91
