API,WellId,CompletionDate,PackerDepth,TubingLowerDepth,TubingSize,TubingUpperDepth
4200943064,087081c5-20cf-4eb5-abdc-b905f68d103f,1/26/2018 12:00:00 AM,0,,2 3/8,729
4238935384,7bbd14fe-8ef6-45aa-98b8-c19ca24679e8,12/5/2017 12:00:00 AM,0,,2 7/8,10849
4232941300,f9260009-21e4-49f7-aaa8-c5087f7dceaa,1/24/2018 12:00:00 AM,0,,2 7/8,9124
4232941298,466e6c5d-11bf-4c06-816e-c93ebef3247b,1/30/2018 12:00:00 AM,0,,2 7/8,9243
4239332695,e430993d-d98c-4851-ad77-cb3f5ef81bdd,4/4/2017 12:00:00 AM,0,,2 7/8,7827
4232941258,aee59ca6-e0b2-4b94-a82d-d8754a0b71fc,1/31/2018 12:00:00 AM,0,,2 7/8,9292
4225535247,3aa3c966-146d-4cc8-9ce6-0309e2bc968b,8/17/2017 12:00:00 AM,12150,,2 7/8,12171
4232941352,918f4b54-9c74-48cc-93f5-0e6426c3f9bf,2/2/2018 12:00:00 AM,0,,2 7/8,9300
4232941353,ee6dec5c-d286-4cee-bbb4-102898c7cdd2,2/3/2018 12:00:00 AM,9032,,2 7/8,9045
4232941350,0bc4743a-0b6a-4f6e-abfa-1443dd1141c7,2/3/2018 12:00:00 AM,9145,,2 7/8,9160
4225535266,d629ce23-6cbd-4717-b39c-18a11f1a0f74,1/21/2018 12:00:00 AM,10752,,2 7/8,10766
4210933008,22ee5c92-0cfb-43fa-ad0a-23e7cbd8e930,12/20/2017 12:00:00 AM,0,,2 7/8,9061
4223536167,2528d20a-d477-40c9-b469-23e819e8eecf,12/30/2017 12:00:00 AM,6659,,2 7/8,6667
4223536166,a0cf45f5-ae81-4b90-b677-2d7196eee81e,12/29/2017 12:00:00 AM,6492,,2 7/8,6499
4232941431,0a661aec-3798-46d7-ac9c-2fc6563f2e92,12/29/2017 12:00:00 AM,0,,2 7/8,9190
4225535268,16ba08a9-1f42-43f8-acc7-416d28427bd0,1/21/2018 12:00:00 AM,10879,,2 7/8,10892
4223536165,40b20aad-40e8-4c02-897a-4209843e93f2,12/31/2017 12:00:00 AM,6712,,2 7/8,6719
4230133127,38f9ac83-bc0e-4772-81da-4749274b33a6,1/7/2018 12:00:00 AM,10921,,2 7/8,10944
4232941347,53182681-4729-4c4e-b45a-4ff89ad9f8b4,1/24/2018 12:00:00 AM,9586,,2 7/8,9600
4247943608,4eaed877-41b7-4a6b-b87b-703cc8675c65,9/22/2017 12:00:00 AM,0,,2 3/8,6451
4238935632,7a635871-9e6f-40fa-a41d-772230861a3e,1/17/2018 12:00:00 AM,10186,,2 7/8,10208
4232941348,0ae1ffc6-1b82-4fa0-adfb-7eedb8331f2b,1/25/2018 12:00:00 AM,9207,,2 7/8,9220
4217337519,a0c472a5-d55f-42bb-8281-82a0eee560f4,12/29/2017 12:00:00 AM,8444,,2 7/8,8410
4230133134,875b79fc-1dc4-43b5-ad3a-984a1f4af7b6,1/11/2018 12:00:00 AM,11070,,2 7/8,11093
4225535272,5a1a1fc0-0815-431e-873c-9e118150051f,5/11/2018 12:00:00 AM,11855,,2 3/8,11876
4225535267,a14f2f4d-0018-4821-a32e-9f03ee37c993,1/21/2018 12:00:00 AM,10749,,2 7/8,10762
4225535277,483e217a-dc43-43d3-9a70-aad3ba11731f,1/7/2018 12:00:00 AM,11587,,2 7/8,11600
4230133175,2c0f8685-be2c-4b7b-8bde-aaf366db803b,1/7/2018 12:00:00 AM,11092,,2 7/8,11115
4238935549,ffe72ea6-c298-4545-b396-b41ec80cb4c6,1/17/2018 12:00:00 AM,10150,,2 7/8,10180
4225535276,6b418238-9bf3-4842-842a-c25b0208641d,1/7/2018 12:00:00 AM,11468,,2 7/8,11481
4223536168,a8a25929-43eb-4e23-8780-c798ad0d8c27,1/3/2018 12:00:00 AM,6441,,2 7/8,6449
4232941436,53960e04-c6fb-4cb4-a342-deda64839ff7,12/29/2017 12:00:00 AM,0,,2 7/8,9177
4238935571,209f6a21-a067-4702-88e8-eadd27cb7564,1/12/2018 12:00:00 AM,9402,,2 7/8,9432
4232941349,2d28480e-2014-4e1d-aaa1-ff64b798d5dd,2/2/2018 12:00:00 AM,9438,,2 7/8,9454
17059266420000,52751b78-e6fd-4496-a15c-e8ba09e2283f,3/31/2017 12:00:00 AM,,2500,02&07/08,0
17109242290000,e7b361fa-cce8-4743-9229-97858448d1f6,4/17/2017 12:00:00 AM,12500,12520,02&07/08,0
4238935484,dee10fad-f458-4ba4-8751-4072c54119c1,1/11/2018 12:00:00 AM,8861,,2 7/8,8891
4246140430,4c985487-3c63-4361-ab2c-5952d63dcacd,1/25/2018 12:00:00 AM,0,,2 7/8,8344
4246140427,afd77967-5b59-4858-9a48-82e21b9f25d2,1/22/2018 12:00:00 AM,0,,2 7/8,8300
4246140424,72cd8d15-24bf-4cea-a520-9d93abeb2ec7,1/8/2018 12:00:00 AM,0,,2 7/8,8384
4249533766,360c260c-e910-451d-9893-dfa7082b0edc,3/31/2017 12:00:00 AM,0,,2 7/8,5732
17075245620000,1e13abf0-b6af-4389-8186-6c1b283c2b5d,4/3/2017 12:00:00 AM,10470,10469,02&07/08,0
17109242300000,c84ad47a-25eb-4b57-8b17-f66772efd7d6,1/25/2018 12:00:00 AM,12475,12506,02&03/08,0
4230133232,d2884b2b-b409-4831-a7b5-030fa8312c89,1/20/2018 12:00:00 AM,10928,,2 7/8,10959
4249533832,3ec18795-fb8b-4a9a-9011-042ecb21d28d,6/5/2017 12:00:00 AM,0,,2 7/8,5675
4238935786,865a8949-d9be-4229-85dd-05327839ae65,1/16/2018 12:00:00 AM,8991,,2 7/8,9021
4232941581,92b53268-b13f-43ad-b8b7-0a1d06b379dc,1/25/2018 12:00:00 AM,0,,2 7/8,8599
4230133203,6df2a0a2-b121-463d-a84d-0bc3947c043e,1/6/2018 12:00:00 AM,11048,,2 7/8,11078
4231740744,bf252a52-1299-484a-b291-0c3fafb32bc8,12/4/2017 12:00:00 AM,8213,,2 7/8,8146
4232941498,9c41dbb3-7b7f-4ca5-bc01-0f1b143417a0,1/23/2018 12:00:00 AM,0,,2 7/8,7804
4217733788,885e8757-5712-4dfc-95fb-1283d96ad717,11/7/2017 12:00:00 AM,8486,,2 3/8,8486
4232941544,18106beb-5ab8-41fc-9ceb-1497cbc0ea7e,1/12/2018 12:00:00 AM,0,,2 7/8,8259
4222739061,bb502d41-77e0-471e-9de5-1945486ca26f,10/22/2017 12:00:00 AM,0,,2 7/8,6539
4238339799,d3a1d3f2-f361-46ae-ad08-1bd91bda30b4,9/26/2017 12:00:00 AM,8240,,2 7/8,8240
4235733634,6dfaacbb-c938-41f9-84da-1cd440f4d16a,6/16/2017 12:00:00 AM,0,,2 7/8,6708
4238935752,143559fb-ff29-442c-9db1-247818d64d79,1/12/2018 12:00:00 AM,9515,,2 7/8,9566
4223933837,a83ae217-0ee5-465e-a16d-287a28a7be84,8/29/2017 12:00:00 AM,6075,,3 1/2,6075
4238935704,7b0da1fa-d95e-47d7-b5cf-2c4fb6a78160,1/19/2018 12:00:00 AM,9802,,2 7/8,9832
4232941579,3639b1d9-3410-4d98-b2e1-2cae3e33a0fc,1/27/2018 12:00:00 AM,0,,2 7/8,8725
4230133277,b54d0027-c2d5-4b1f-bb80-319cc9c33c6b,12/30/2017 12:00:00 AM,13173,,2 7/8,13184
4230133252,22f234f2-7957-4260-a43d-355df19f7b0a,1/27/2018 12:00:00 AM,11176,,3 1/2,11186
4231740731,9ebfd46e-5a5a-4eeb-b7ef-3ae97cb4a13f,11/29/2017 12:00:00 AM,9000,,2 7/8,9000
4216538534,c9630a53-8b43-4101-bdf3-3b7afc1fc6e3,1/6/2018 12:00:00 AM,0,,2 7/8,5665
4232941501,8df20259-2a10-470f-8df6-3f37cbc34786,1/25/2018 12:00:00 AM,0,,2 7/8,9148
4232941582,e120236c-c845-4912-b3af-400d08f065ae,1/27/2018 12:00:00 AM,0,,2 7/8,8633
4216538536,deff0ac1-ae25-412f-aaaf-4517fd57eab2,1/31/2018 12:00:00 AM,0,,2 7/8,5569
4238339810,33df883b-445e-4db4-b69a-479fb2419950,1/2/2018 12:00:00 AM,7557,,2 7/8,7565
4225535335,3fd2e067-3d66-4710-8a39-4e9c21a6039c,11/20/2017 12:00:00 AM,12500,,3 1/8,12519
4230133215,95b0e3dd-36cc-4baa-8ecd-4fbc35b50d6d,1/17/2018 12:00:00 AM,10907,,2 7/8,10938
4238935796,9c09e120-0655-4cf4-a8ee-533feb1192aa,1/25/2018 12:00:00 AM,10187,,2 7/8,10187
4230133226,45f4c559-057e-4013-9ed6-55af0994dbc1,1/18/2018 12:00:00 AM,10949,,2 7/8,10980
4238935782,6b15bc92-1cee-46cc-a875-574cbf9afbff,1/9/2018 12:00:00 AM,9253,,2 7/8,9283
4225535318,c779ac2b-7372-422c-bbc5-581f98d2957a,1/8/2018 12:00:00 AM,11803,,2 7/8,11816
4231740742,f87da0e7-0a74-4022-849b-5a4ba70baa36,11/8/2017 12:00:00 AM,8516,,2 7/8,8525
4235733637,f83ed8bf-01c8-421a-9e4b-6308533e48bb,5/28/2017 12:00:00 AM,0,,2 7/8,6464
4238935665,c1236cef-3bbc-4144-ba33-66ee8fc4dc65,12/31/2017 12:00:00 AM,0,,2 7/8,9898
4225535332,416d348f-094c-4772-b648-6b86e96fe3ae,11/1/2017 12:00:00 AM,11958,,3 1/8,11977
4230133214,7b79620e-b9be-4521-a4d6-6d7c134c22a9,1/17/2018 12:00:00 AM,11018,,2 7/8,11049
