API,Comments,LowerPerf,PerfDate,Reservoir,UpperPerf,WellId
4247731045,,22328,,,14251,c4640c6a-5139-4039-a4ff-788bdeb015db
4219933590,,3394,,,3390,3085d55f-079a-4910-9f9f-15f42ed4934b
3001542732,,13881,,PURPLE SAGE; WOLFCAMP (GAS),9179,22977fc2-ac43-4926-9afd-c8448b5b40c7
4235733655,,11500,,,7206,02f32037-ca4f-45ab-8a16-796a9cf16c08
4238339885,,15693,,,8118,ae53f1e3-1a42-423d-8972-b1fd131f3fc9
4217337592,,20062,,,7424,09fe9cda-a41a-4d82-a6e8-8fbfa4a3b911
4225535272,,17165,,,12212,5a1a1fc0-0815-431e-873c-9e118150051f
4225535275,,16704,,,12149,9918c709-8a50-4360-b6bf-aae47d593efe
3001542733,,13935,,PURPLE SAGE; WOLFCAMP (GAS),9316,11cf397e-98f8-413e-a017-cd3d8e1f1634
4231740743,,15984,,,8422,dc757b6a-50af-4dc9-b1e3-98c11e1042e4
3001543869,,13647,,PURPLE SAGE; WOLFCAMP (GAS),9289,34e06e8e-a7f2-45dd-8e7b-9feb18011fe8
3001544156,,17817,,TURKEY TRACK; BONE SPRING,7997,26d9fca5-b3bb-44f7-bc5d-d441fdd9056c
3001544142,,17642,,TURKEY TRACK;BONE SPRING,8261,43fc1e7a-f061-4182-833d-b5b44e102c4d
3001544437,,20110,,PURPLE SAGE; WOLFCAMP (GAS),10286,14580e40-f939-433e-94e1-589a04ffd088
4217733788,,11402,,,8880,885e8757-5712-4dfc-95fb-1283d96ad717
4212737514,,12811,,,7517,a08636f2-383e-42b3-a2d2-b0fa2d78684d
4247943700,,18810,,,11249,3063e514-4a58-4232-8573-d7437d429e0f
4212737516,,12799,,,7592,4396bb95-ea00-4f42-979e-b4cd3a020e15
3001544154,,17940,,TURKEY TRACK;BONE SPRING,8244,5778f9bf-bfcb-4056-8176-d86dff38aa3f
3002543370,,11375,,"MALJAMAR; YESO, WEST",6451,85e61139-d3ad-44f1-938d-4c0501cc550e
3002542116,,4864,,VACUUM; GRAYBURG-SAN ANDRES,4727,85f88048-142e-4b8d-9a94-c6623b6cb933
4231136734,,21121,,,10943,c127a5f1-e575-42ab-a145-39d2933114c3
4230132955,,22917,,,13156,4ab7f53a-b6ad-432e-ae2d-81638db33966
4223933837,,6238,,,6222,a83ae217-0ee5-465e-a16d-287a28a7be84
4239935535,,4548,,,4542,2d34d118-ee22-4e28-b69f-d64d34b01768
4225535335,,19152,,,13290,3fd2e067-3d66-4710-8a39-4e9c21a6039c
4223933589,,5546,,,5540,678fab5a-b688-49a9-9d0d-eac1bfa80c82
4229132920,,2959,,,2952,5ff6be84-a3f6-44a1-908e-84b10e67d274
4230132968,,16125,,,11529,7ee39c48-2e79-46c2-8508-efca748d9a28
4238934719,,15072,,,10476,71b5fda0-f74d-4ff0-8abe-e8c9454866d1
4225535332,,19242,,,13290,416d348f-094c-4772-b648-6b86e96fe3ae
4230132964,,16309,,,11461,5d4b79be-33cc-421c-90a8-3ee02880a245
4225535148,,19552,,,13090,6e896c7c-9581-4bd2-9b32-72fc0ad23ee8
4229132920,,2830,,,2813,5ff6be84-a3f6-44a1-908e-84b10e67d274
4229132920,,2838,,,2834,5ff6be84-a3f6-44a1-908e-84b10e67d274
4217733847,,20736,,,11084,7628e8b6-7026-4f5b-94ec-f271fd748b94
4229132920,,2859,,,2847,5ff6be84-a3f6-44a1-908e-84b10e67d274
4229132920,,3073,,,3052,5ff6be84-a3f6-44a1-908e-84b10e67d274
4213543501,,6486,,,6189,6ae4a5a9-e6fa-4ff1-9625-ec5ab2cd2559
4229132920,,3038,,,3021,5ff6be84-a3f6-44a1-908e-84b10e67d274
4229132920,,3118,,,3106,5ff6be84-a3f6-44a1-908e-84b10e67d274
4246934369,,5026,,,5020,a3e7491e-5d94-474e-9027-f384b12ec3fc
4212737584,,7690,,,4619,f9c25fbe-cdd2-4249-a73f-097d2ed075e1
4218332163,,17176,,,10898,10eac4dd-4d7b-4c40-b97f-593000913f78
4225535329,,19002,,,13180,53a20fbe-388d-463d-a463-7016dc834092
4200347626,,10178,,,5657,a8131dd8-59aa-4997-a5e3-a9679f1c4352
4225535150,,22268,,,13082,aecde1df-ac1d-4147-971a-8e53a5a9f179
4217733848,,19900,,,11047,c7209aa8-569a-45d7-8b5c-ed5ec95ebc8c
4232941352,,20499,,WOLFCAMP C,10239,918f4b54-9c74-48cc-93f5-0e6426c3f9bf
4238339799,,19318,,,8912,d3a1d3f2-f361-46ae-ad08-1bd91bda30b4
4225535333,,19362,,,13390,9191415f-6367-457c-9942-f88dbbbdbdb9
4212737581,,6923,,,3661,f7136454-bc7b-4c60-bd6e-309b138002f2
4229132920,,2884,,,2874,5ff6be84-a3f6-44a1-908e-84b10e67d274
4248546059,,1961,,,1958,08981dc5-72bc-4947-87b1-14be410c8dc0
4231740744,,16268,,,8798,bf252a52-1299-484a-b291-0c3fafb32bc8
4236538085,,14470,,,9911,5af6c6eb-7220-440b-be33-bd0df599fe16
05075060630000,,5312,,,5306,c42ab934-aa43-4962-8314-e5dfa9e7542d
4236537957,,13413,,,9282,24c0ce7c-b638-45e0-bd19-da1ad9ddfed7
4220334050,,10212,,,10208,910cc3c0-8a91-4804-8f43-0d6ce14faf63
4220334050,,10062,,,10050,910cc3c0-8a91-4804-8f43-0d6ce14faf63
4220334050,,10170,,,10160,910cc3c0-8a91-4804-8f43-0d6ce14faf63
4216537798,,7257,,,7202,8515706d-6f9e-41b2-950b-e4b3dc622eff
4216537798,,7684,,,7546,8515706d-6f9e-41b2-950b-e4b3dc622eff
4223534170,,6299,,,6247,214e47c9-6260-41c3-9d02-38bd241c1409
4220333741,,9783,,,9774,4b960f46-5efe-4a4d-a8c9-1fdd6193db88
4220333741,,9808,,,9801,4b960f46-5efe-4a4d-a8c9-1fdd6193db88
4220333741,,9712,,,9708,4b960f46-5efe-4a4d-a8c9-1fdd6193db88
4220333741,,9688,,,9684,4b960f46-5efe-4a4d-a8c9-1fdd6193db88
4220333741,,9712,,,9684,4b960f46-5efe-4a4d-a8c9-1fdd6193db88
4220333741,,6878,,,6868,4b960f46-5efe-4a4d-a8c9-1fdd6193db88
4220333741,,9808,,,9774,4b960f46-5efe-4a4d-a8c9-1fdd6193db88
4240932772,,12990,,,12844,8f9819bb-4b93-43e5-9a92-f33fee996599
4240932772,,11350,,,11334,8f9819bb-4b93-43e5-9a92-f33fee996599
4241931172,,12200,,,12140,5e6d4cda-ea1e-4c83-b1a0-feb44be8809c
4240133958,,9774,,,9419,8eb82788-545e-424e-9d16-b45511cb0bda
4240133958,,9774,,,9419,8eb82788-545e-424e-9d16-b45511cb0bda
4240133958,,10707,,,10400,8eb82788-545e-424e-9d16-b45511cb0bda
4240133958,,10707,,,10400,8eb82788-545e-424e-9d16-b45511cb0bda
4240133958,,10295,,,9872,8eb82788-545e-424e-9d16-b45511cb0bda
4240133958,,10295,,,9872,8eb82788-545e-424e-9d16-b45511cb0bda
4231735417,,8495,,,8140,4c6d9ce2-e176-47ca-b606-4ba659ec1bc8
4231735417,,10160,,,9327,4c6d9ce2-e176-47ca-b606-4ba659ec1bc8
4231735417,,9150,,,8880,4c6d9ce2-e176-47ca-b606-4ba659ec1bc8
4239132956,,2859,,,2851,340ee2a4-969a-4ad5-a7a9-2f17c0c22183
4249532691,,5638,,,5598,f78db252-fb7e-453c-aca4-89d61d5d0c12
4220333321,,9558,,,9556,3cd39389-57ca-41a3-afe1-9578d89a5a46
4220333321,,9731,,,9729,3cd39389-57ca-41a3-afe1-9578d89a5a46
4220333321,,9432,,,9430,3cd39389-57ca-41a3-afe1-9578d89a5a46
4220333321,,9722,,,9720,3cd39389-57ca-41a3-afe1-9578d89a5a46
4220333321,,9594,,,9590,3cd39389-57ca-41a3-afe1-9578d89a5a46
4220333321,,9390,,,9388,3cd39389-57ca-41a3-afe1-9578d89a5a46
