WellId,API,Date,Oil,Gas,Water,State,County,Field,Operator,Days,DailyOil,DailyGas,DailyWater
3bf633ab-413f-47fb-a6c6-738e9445353c,4238935775,2/1/2018 12:00:00 AM,1528,80193,0,Texas,REEVES,,Apache Corporation,28,55,2864,0
7b6e4bfc-f938-41f0-b722-3df9a2dd20ae,4238935777,2/1/2018 12:00:00 AM,162,87825,0,Texas,REEVES,,Apache Corporation,28,6,3137,0
c0aed19c-38da-4455-bb6b-172000228d12,4238339905,1/1/2018 12:00:00 AM,31,341,1068,Texas,REAGAN,SPRABERRY (TREND AREA),Discovery Natural Resources LLC,4,7,85,0
214e47c9-6260-41c3-9d02-38bd241c1409,4223534170,3/1/2018 12:00:00 AM,0,0,0,Texas,IRION,BROOKS (CANYON K),"TXP, INCORPORATED",31,0,0,0
214e47c9-6260-41c3-9d02-38bd241c1409,4223534170,2/1/2018 12:00:00 AM,0,0,436,Texas,IRION,BROOKS (CANYON K),"TXP, INCORPORATED",28,11,0,15
214e47c9-6260-41c3-9d02-38bd241c1409,4223534170,1/1/2018 12:00:00 AM,0,0,0,Texas,IRION,TANKERSLEY (SAN ANGELO),"TXP, INCORPORATED",10,22,0,0
214e47c9-6260-41c3-9d02-38bd241c1409,4223534170,1/1/2018 12:00:00 AM,0,0,0,Texas,IRION,BROOKS (CANYON K),"TXP, INCORPORATED",31,7,0,0
4aea60ac-8eb3-494b-b2ea-e53fea541582,4237139591,2/1/2018 12:00:00 AM,0,0,0,Texas,PECOS,WOLFBONE (TREND AREA),,28,720,647,0
a8a25929-43eb-4e23-8780-c798ad0d8c27,4223536168,1/1/2018 12:00:00 AM,6386,5084,0,Texas,IRION,SPRABERRY (TREND AREA),"TRACKER RESOURCE DEV III, LLC",31,206,164,0
2528d20a-d477-40c9-b469-23e819e8eecf,4223536167,2/1/2018 12:00:00 AM,14251,15063,75269,Texas,IRION,SPRABERRY (TREND AREA),"TRACKER RESOURCE DEV III, LLC",28,508,537,0
a0cf45f5-ae81-4b90-b677-2d7196eee81e,4223536166,2/1/2018 12:00:00 AM,14251,15063,39767,Texas,IRION,SPRABERRY (TREND AREA),"TRACKER RESOURCE DEV III, LLC",28,508,537,1420
40b20aad-40e8-4c02-897a-4209843e93f2,4223536165,2/1/2018 12:00:00 AM,14251,15063,75269,Texas,IRION,SPRABERRY (TREND AREA),"TRACKER RESOURCE DEV III, LLC",28,508,537,0
ffb8d97a-fd7e-4737-a9f8-7442b335df12,4238936302,12/1/2017 12:00:00 AM,2069,0,0,Texas,REEVES,,"PRI OPERATING, LLC",0,0,0,0
ffb8d97a-fd7e-4737-a9f8-7442b335df12,4238936302,2/1/2018 12:00:00 AM,29363,25656,0,Texas,REEVES,,"PRI OPERATING, LLC",28,1049,916,0
220de637-dee7-426f-b0ac-5fd5df8a44cd,4246140637,1/1/2018 12:00:00 AM,6123,5785,177079,Texas,UPTON,SPRABERRY (TREND AREA),HUNT OIL COMPANY,13,471,445,13621
fd22724c-c31f-4c00-bd8e-a5864fe84b03,4246140630,2/1/2018 12:00:00 AM,11368,12180,49028,Texas,UPTON,SPRABERRY (TREND AREA),HUNT OIL COMPANY,28,406,435,1751
c4640c6a-5139-4039-a4ff-788bdeb015db,4247731045,12/1/2017 12:00:00 AM,0,441783,0,Texas,WASHINGTON,,"GEOSOUTHERN OPERATING II, LLC",0,0,0,0
c4640c6a-5139-4039-a4ff-788bdeb015db,4247731045,2/1/2018 12:00:00 AM,0,368861,0,Texas,WASHINGTON,,"GEOSOUTHERN OPERATING II, LLC",28,0,13174,0
c4640c6a-5139-4039-a4ff-788bdeb015db,4247731045,1/1/2018 12:00:00 AM,0,422023,0,Texas,WASHINGTON,,"GEOSOUTHERN OPERATING II, LLC",31,0,13614,0
3085d55f-079a-4910-9f9f-15f42ed4934b,4219933590,2/1/2018 12:00:00 AM,836.7,86.81,0,Texas,HARDIN,ARRIOLA*,"TEXAKOTA, INC.",28,30,3,0
21d0633b-5f5b-4b3f-8566-3609751f595e,4237139613,2/1/2018 12:00:00 AM,18345,39763,0,Texas,PECOS,,"CRIMSON EXPLORATION OPER., INC.",28,655,1420,0
5d521c38-dd52-46c7-933f-84fbd95ca5ba,4238936074,1/1/2018 12:00:00 AM,13752,12756,24928,Texas,REEVES,WOLFBONE (TREND AREA),OXY USA WTP LP,27,509,472,923
0b87c6e6-2d3a-4240-b8b6-859a0202985c,4238935922,1/1/2018 12:00:00 AM,25741,23577,0,Texas,REEVES,,"CENTENNIAL RESOURCE PROD, LLC",31,830,761,0
6bbe6526-6c93-4633-b333-22fb9e3a034b,4238339913,2/1/2018 12:00:00 AM,12084,13163,0,Texas,REAGAN,,"PIONEER NATURAL RES. USA, INC.",28,432,470,0
