API,Comments,EffectiveDate,Field,Orginization,Status,StatusDate,WellName,WellId
4232937978,Producing operator changed.,3/1/1995 12:00:00 AM,SPRABERRY (TREND AREA),PARKER &amp; PARSLEY DEVELOPMENT L.P,,,,f7d7713c-a020-432f-8e67-1dbc1f52584d
4232937439,Producing operator changed.,7/1/2012 12:00:00 AM,SPRABERRY (TREND AREA),DIAMONDBACK E&amp;P LLC,,,,6b8f80f3-2815-4af7-94bd-9e4e28d93287
4232936488,Producing operator changed.,10/1/2009 12:00:00 AM,SALLIE ANN (SPRABERRY-WOLFCAMP),CALLON PETROLEUM OPERATING CO,,,,71df5a6e-6127-40a4-969f-8e2d15d31090
4232937260,Producing operator changed.,7/1/2012 12:00:00 AM,SPRABERRY (TREND AREA),DIAMONDBACK E&amp;P LLC,,,,50cc6522-8323-45c4-b02c-04c5faad9de1
4232936478,Producing operator changed.,6/1/2011 12:00:00 AM,SALLIE ANN (SPRABERRY-WOLFCAMP),KAISER-FRANCIS OIL COMPANY,,,,331a9e85-5fbb-443e-ba02-3e7638d16b21
4232936778,Producing operator changed.,1/1/2001 12:00:00 AM,DORA ROBERTS (CONSOLIDATED),OXY USA WTP LP,,,,c7c561b8-5674-4be7-8448-3dc97c414489
4232931697,Producing operator changed.,3/1/1993 12:00:00 AM,PARSLEY (ATOKA),LATEX PETROLEUM CORPORATION,,,,a923293e-2df4-4054-ac58-071f8b617fd0
4232931697,Producing operator changed.,10/1/2009 12:00:00 AM,PARSLEY (ATOKA),ENDEAVOR ENERGY RESOURCES L.P.,,,,a923293e-2df4-4054-ac58-071f8b617fd0
4232931697,Producing operator changed.,11/1/2002 12:00:00 AM,PARSLEY (ATOKA),PERENCO LLC,,,,a923293e-2df4-4054-ac58-071f8b617fd0
4232931697,Producing operator changed.,9/1/1996 12:00:00 AM,PARSLEY (ATOKA),MID-CONTINENT ENERGY OPER. CO.,,,,a923293e-2df4-4054-ac58-071f8b617fd0
